title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes,score,members
Durarara!!,6746,TV (New),Brain's Base,winter,2010.0,2010-01-08 01:25:00,Light novel,24.0,8.16,1149871.0
Baka to Test to Shoukanjuu,6347,TV (New),SILVER LINK.,winter,2010.0,2010-01-07 02:20:00,Light novel,13.0,7.58,543549.0
Katanagatari,6594,TV (New),White Fox,winter,2010.0,2010-01-26 01:10:00,Light novel,12.0,8.36,459524.0
Seikon no Qwaser,6500,TV (New),Hoods Entertainment,winter,2010.0,2010-01-10 03:28:00,Manga,24.0,6.43,271162.0
Omamori Himari,6324,TV (New),Zexcs,winter,2010.0,2010-01-07 01:30:00,Manga,12.0,6.91,206684.0
Dance in the Vampire Bund,6747,TV (New),Shaft,winter,2010.0,2010-01-07 09:00:00,Manga,12.0,7.04,194232.0
Ladies versus Butlers!,7148,TV (New),Xebec,winter,2010.0,2010-01-05 22:00:00,Light novel,12.0,6.62,178015.0
So Ra No Wo To,6802,TV (New),A-1 Pictures,winter,2010.0,2010-01-05 01:30:00,Original,12.0,7.55,138810.0
Nodame Cantabile: Finale,5690,TV (New),J.C.Staff,winter,2010.0,2010-01-15 00:45:00,Manga,11.0,8.26,112943.0
Hanamaru Youchien,6574,TV (New),Gainax,winter,2010.0,2010-01-11 01:30:00,Manga,12.0,7.3,67276.0
Ookamikakushi,7079,TV (New),AIC,winter,2010.0,2010-01-08 01:59:00,Visual novel,12.0,6.34,67001.0
Chu-Bra!!,6645,TV (New),Zexcs,winter,2010.0,2010-01-04 23:30:00,Manga,12.0,6.23,43224.0
Heartcatch Precure!,7645,TV (New),Toei Animation,winter,2010.0,2010-02-07 08:30:00,Original,49.0,7.78,24738.0
Hidamari Sketch x ☆☆☆,7062,TV (New),Shaft,winter,2010.0,2010-01-08 01:29:00,4-koma manga,12.0,7.92,23704.0
Weiß Survive R,7463,TV (New),Studio Hibari,winter,2010.0,2009-12-05 01:25:00,Card game,12.0,6.08,10159.0
Cobra The Animation,5032,TV (New),Magic Bus,winter,2010.0,2010-01-02 23:30:00,Manga,13.0,7.09,7299.0
Kaitou Reinya,7561,TV (New),Stingray,winter,2010.0,2010-01-09 00:00:00,4-koma manga,12.0,5.69,3093.0
Kemono no Souja Erin Recaps,7904,TV (New),Production I.G,winter,2010.0,2010-01-09 00:00:00,Novel,10.0,6.77,2190.0
Masuda Kousuke Gekijou Gag Manga Biyori +,7761,TV (New),Studio Deen,winter,2010.0,2010-01-05 00:00:00,Manga,12.0,7.04,2047.0
Chi-Sui Maru,8025,TV (New),          -,winter,2010.0,2010-02-06 00:00:00,Original,41.0,0.0,428.0
Rose O'Neill Kewpie,7211,TV (New),TMS Entertainment,winter,2010.0,2009-12-02 00:00:00,Other,26.0,0.0,290.0
Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha,33085,TV (New),Kachidoki Studio,winter,2010.0,2010-01-10 00:00:00,Original,13.0,0.0,287.0
Fullmetal Alchemist: Brotherhood,5114,TV (Continuing),Bones,winter,2010.0,2009-04-05 17:00:00,Manga,64.0,9.18,2388188.0
Naruto: Shippuuden,1735,TV (Continuing),Studio Pierrot,winter,2010.0,2007-02-15 19:30:00,Manga,500.0,8.18,1667280.0
One Piece,21,TV (Continuing),Toei Animation,winter,2010.0,1999-10-20 09:30:00,Manga,0.0,8.54,1452785.0
Fairy Tail,6702,TV (Continuing),"A-1 Pictures, Satelight",winter,2010.0,2009-10-12 10:30:00,Manga,175.0,7.64,1380707.0
Bleach,269,TV (Continuing),Studio Pierrot,winter,2010.0,2004-10-05 18:00:00,Manga,366.0,7.8,1359619.0
Bakemonogatari,5081,TV (Continuing),Shaft,winter,2010.0,2009-07-03 23:00:00,Light novel,15.0,8.35,1115918.0
Gintama,918,TV (Continuing),Sunrise,winter,2010.0,2006-04-04 18:00:00,Manga,201.0,8.96,796384.0
Kimi ni Todoke,6045,TV (Continuing),Production I.G,winter,2010.0,2009-10-07 00:59:00,Manga,25.0,8.01,682818.0
Toaru Kagaku no Railgun,6213,TV (Continuing),J.C.Staff,winter,2010.0,2009-10-03 01:30:00,Manga,24.0,7.71,481865.0
Katekyo Hitman Reborn!,1604,TV (Continuing),Artland,winter,2010.0,2006-10-07 10:30:00,Manga,203.0,8.17,473259.0
Dragon Ball Kai,6033,TV (Continuing),Toei Animation,winter,2010.0,2009-04-05 09:00:00,Manga,97.0,7.71,284607.0
Detective Conan,235,TV (Continuing),TMS Entertainment,winter,2010.0,1996-01-08 18:00:00,Manga,0.0,8.16,264062.0
InuYasha: Kanketsu-hen,6811,TV (Continuing),Sunrise,winter,2010.0,2009-10-04 02:20:00,Manga,26.0,8.21,222107.0
Inazuma Eleven,5231,TV (Continuing),OLM,winter,2010.0,2008-10-05 00:00:00,Game,127.0,7.6,147675.0
Kobato.,5678,TV (Continuing),Madhouse,winter,2010.0,2009-10-06 00:00:00,Manga,24.0,7.97,142726.0
Yu☆Gi☆Oh! 5D's,3972,TV (Continuing),Gallop,winter,2010.0,2008-04-02 18:00:00,Manga,154.0,7.41,108136.0
Tegamibachi,6444,TV (Continuing),Studio Pierrot,winter,2010.0,2009-10-03 22:55:00,Manga,25.0,7.65,105661.0
Cross Game,5941,TV (Continuing),SynergySP,winter,2010.0,2009-04-05 00:00:00,Manga,50.0,8.42,103292.0
Shugo Chara! Party!,7082,TV (Continuing),Satelight,winter,2010.0,2009-10-03 00:00:00,Manga,25.0,6.62,63224.0
Keroro Gunsou,516,TV (Continuing),Sunrise,winter,2010.0,2004-04-03 00:00:00,Manga,358.0,7.69,61699.0
Metal Fight Beyblade,5962,TV (Continuing),"Seven, SynergySP, Tatsunoko Production",winter,2010.0,2009-04-05 08:30:00,Manga,51.0,6.72,61528.0
Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,winter,2010.0,1992-04-13 19:30:00,Manga,0.0,7.69,60454.0
Hanasakeru Seishounen,5835,TV (Continuing),Studio Pierrot,winter,2010.0,2009-04-05 00:00:00,Manga,39.0,7.74,59165.0
Tatakau Shisho: The Book of Bantorra,6758,TV (Continuing),David Production,winter,2010.0,2009-10-02 00:00:00,Light novel,27.0,7.24,55415.0
Bakugan Battle Brawlers: New Vestroia,5337,TV (Continuing),TMS Entertainment,winter,2010.0,2009-04-12 00:00:00,Original,52.0,6.43,49074.0
Fuyu no Sonata,4189,TV (Continuing),"KeyEast, REALTHING, Studio Comet",winter,2010.0,2009-10-17 00:00:00,Other,26.0,7.4,20971.0
Kiddy GiRL-AND,3349,TV (Continuing),Satelight,winter,2010.0,2009-10-16 00:00:00,Original,24.0,6.87,16369.0
Element Hunters,5945,TV (Continuing),"Heewon Entertainment, NHK Enterprises",winter,2010.0,2009-07-04 18:00:00,Original,39.0,6.64,12104.0
Jewelpet,6008,TV (Continuing),Studio Comet,winter,2010.0,2009-04-05 09:30:00,Original,52.0,6.65,9037.0
Tentai Senshi Sunred 2nd Season,6582,TV (Continuing),AIC ASTA,winter,2010.0,2009-10-03 00:00:00,Manga,26.0,7.88,7012.0
