title,MAL_id,type,studio,release-season,release-year,release-date,source-material,episodes,score,members
Mahou Shoujo Madoka★Magica,9756,TV (New),Shaft,winter,2011.0,2011-01-07 01:25:00,Original,12.0,8.36,1100530.0
Kore wa Zombie Desu ka?,8841,TV (New),Studio Deen,winter,2011.0,2011-01-11 00:00:00,Light novel,12.0,7.38,570644.0
IS: Infinite Stratos,9041,TV (New),8bit,winter,2011.0,2011-01-07 01:25:00,Light novel,12.0,6.67,566992.0
Beelzebub,9513,TV (New),Pierrot Plus,winter,2011.0,2011-01-09 00:00:00,Manga,60.0,7.88,523214.0
Gosick,8425,TV (New),Bones,winter,2011.0,2011-01-08 01:23:00,Light novel,24.0,8.07,476506.0
Kimi ni Todoke 2nd Season,9656,TV (New),Production I.G,winter,2011.0,2011-01-12 00:59:00,Manga,12.0,7.99,386945.0
Freezing,9367,TV (New),A.C.G.T.,winter,2011.0,2011-01-08 09:30:00,Manga,12.0,6.84,292213.0
Dragon Crisis!,9330,TV (New),Studio Deen,winter,2011.0,2011-01-11 01:30:00,Light novel,12.0,6.66,160001.0
Yumekui Merry,9331,TV (New),J.C.Staff,winter,2011.0,2011-01-07 00:00:00,Manga,13.0,6.93,128446.0
Hourou Musuko,8426,TV (New),AIC Classic,winter,2011.0,2011-01-14 01:15:00,Manga,11.0,7.72,115776.0
Level E,9834,TV (New),"David Production, Studio Pierrot",winter,2011.0,2011-01-11 00:00:00,Manga,13.0,7.43,86965.0
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,9587,TV (New),Zexcs,winter,2011.0,2011-01-09 00:30:00,Manga,12.0,6.11,82039.0
Fractale,9314,TV (New),"A-1 Pictures, Ordet",winter,2011.0,2011-01-14 00:45:00,Original,11.0,6.94,77551.0
Cardfight!! Vanguard,9539,TV (New),TMS Entertainment,winter,2011.0,2011-01-08 08:00:00,Original,65.0,7.02,48176.0
Mitsudomoe Zouryouchuu!,9510,TV (New),Bridge,winter,2011.0,2011-01-09 00:00:00,Manga,8.0,7.69,42065.0
Bakugan Battle Brawlers: Mechtanium Surge,10330,TV (New),TMS Entertainment,winter,2011.0,2011-02-13 00:00:00,Original,46.0,6.2,39398.0
Rio: Rainbow Gate!,8241,TV (New),Xebec,winter,2011.0,2011-01-04 00:00:00,Other,13.0,5.87,36594.0
Haiyoru! Nyaruani: Remember My Love(craft-sensei),9598,TV (New),DLE,winter,2011.0,2010-12-11 00:00:00,Light novel,11.0,6.24,26673.0
Wolverine,6918,TV (New),Madhouse,winter,2011.0,2011-01-07 00:00:00,Other,12.0,6.05,24094.0
Suite Precure♪,9893,TV (New),Toei Animation,winter,2011.0,2011-02-06 00:00:00,Original,48.0,7.27,13399.0
DD Hokuto no Ken,10177,TV (New),          -,winter,2011.0,2011-01-12 02:35:00,Manga,12.0,6.13,4481.0
Oscar's Oasis,33430,TV (New),TUBA,winter,2011.0,2011-02-28 00:00:00,-,78.0,6.4,1020.0
Chi-Sui Maru 2nd Season,11733,TV (New),          -,winter,2011.0,2011-01-15 00:00:00,-,34.0,0.0,298.0
Naruto: Shippuuden,1735,TV (Continuing),Studio Pierrot,winter,2011.0,2007-02-15 19:30:00,Manga,500.0,8.23,1969677.0
One Piece,21,TV (Continuing),Toei Animation,winter,2011.0,1999-10-20 09:30:00,Manga,0.0,8.62,1737573.0
Bleach,269,TV (Continuing),Studio Pierrot,winter,2011.0,2004-10-05 18:00:00,Manga,366.0,7.83,1541041.0
Fairy Tail,6702,TV (Continuing),"A-1 Pictures, Satelight",winter,2011.0,2009-10-12 10:30:00,Manga,175.0,7.6,1521781.0
Bakuman.,7674,TV (Continuing),J.C.Staff,winter,2011.0,2010-10-02 00:00:00,Manga,25.0,8.2,549718.0
Toaru Majutsu no Index II,8937,TV (Continuing),J.C.Staff,winter,2011.0,2010-10-08 23:30:00,Light novel,24.0,7.56,409167.0
Dragon Ball Kai,6033,TV (Continuing),Toei Animation,winter,2011.0,2009-04-05 09:00:00,Manga,97.0,7.71,320597.0
Detective Conan,235,TV (Continuing),TMS Entertainment,winter,2011.0,1996-01-08 18:00:00,Manga,0.0,8.16,293970.0
Inazuma Eleven,5231,TV (Continuing),OLM,winter,2011.0,2008-10-05 00:00:00,Game,127.0,7.63,171982.0
Yu☆Gi☆Oh! 5D's,3972,TV (Continuing),Gallop,winter,2011.0,2008-04-02 18:00:00,Manga,154.0,7.41,119678.0
Star Driver: Kagayaki no Takuto,8934,TV (Continuing),Bones,winter,2011.0,2010-10-03 17:00:00,Original,25.0,7.21,104405.0
Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,winter,2011.0,1992-04-13 19:30:00,Manga,0.0,7.73,67999.0
Keroro Gunsou,516,TV (Continuing),Sunrise,winter,2011.0,2004-04-03 00:00:00,Manga,358.0,7.69,66900.0
Tegamibachi Reverse,8311,TV (Continuing),Studio Pierrot,winter,2011.0,2010-10-03 00:10:00,Manga,25.0,7.75,58029.0
Digimon Xros Wars,8624,TV (Continuing),Toei Animation,winter,2011.0,2010-07-06 19:27:00,Original,30.0,6.68,43202.0
Jewelpet Twinkle☆,8217,TV (Continuing),Studio Comet,winter,2011.0,2010-04-03 00:00:00,Original,52.0,7.38,9910.0
Hime Chen! Otogi Chikku Idol Lilpri,8206,TV (Continuing),TMS Entertainment,winter,2011.0,2010-04-04 09:00:00,Game,51.0,6.99,9376.0
Super Robot Taisen OG: The Inspector,9241,TV (Continuing),Asahi Production,winter,2011.0,2010-10-02 00:00:00,Game,26.0,7.24,8599.0
Sazae-san,2406,TV (Continuing),Eiken,winter,2011.0,1969-10-05 18:30:00,4-koma manga,0.0,6.13,6708.0
SD Gundam Sangokuden Brave Battle Warriors,8287,TV (Continuing),Sunrise,winter,2011.0,2010-04-03 00:00:00,Original,51.0,6.3,4200.0
Battle Spirits: Brave,9346,TV (Continuing),Sunrise,winter,2011.0,2010-09-12 07:00:00,Card game,50.0,7.08,3497.0
Mainichi Kaasan,6116,TV (Continuing),          -,winter,2011.0,2009-04-01 00:00:00,Manga,142.0,7.29,2796.0
Gokujou!! Mecha Mote Iinchou Second Collection,8538,TV (Continuing),SynergySP,winter,2011.0,2010-04-03 00:00:00,Manga,51.0,6.28,2545.0
Saikyou Bushouden: Sangoku Engi,6902,TV (Continuing),"Beijing Huihuang Animation Company, Future Planet",winter,2011.0,2010-04-04 09:30:00,Novel,52.0,6.74,2240.0
Shin-Men,9799,TV (Continuing),Shin-Ei Animation,winter,2011.0,2010-11-26 00:00:00,-,13.0,6.14,1449.0
Kuruneko 2nd Season,9013,TV (Continuing),"DAX Production, Studio Deen",winter,2011.0,2010-07-03 11:40:00,Manga,50.0,6.98,1293.0
Chao Zhi Neng Zu Qiu,36993,TV (Continuing),          -,winter,2011.0,2010-06-02 00:00:00,Original,52.0,6.25,1083.0
Marie & Gali ver. 2.0,8409,TV (Continuing),Toei Animation,winter,2011.0,2010-03-20 00:00:00,Original,30.0,5.92,936.0
Oyako Club,12393,TV (Continuing),Eiken,winter,2011.0,1994-10-03 00:00:00,Original,1818.0,5.47,898.0
Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,9345,TV (Continuing),          -,winter,2011.0,2010-08-13 00:00:00,-,33.0,0.0,834.0
Choegang Habche: Mix Master,31246,TV (Continuing),          -,winter,2011.0,2010-05-26 00:00:00,Original,39.0,6.13,660.0
Little Charo 2,13179,TV (Continuing),          -,winter,2011.0,2010-03-29 00:00:00,Original,50.0,0.0,346.0
Tachumaru Gekijou,9562,TV (Continuing),Tatsunoko Production,winter,2011.0,2010-10-04 00:00:00,-,26.0,0.0,290.0
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,10020,ONA,AIC Build,winter,2011.0,2011-02-22 00:00:00,Light novel,4.0,7.37,174709.0
Rain Town,10448,ONA,          -,winter,2011.0,2011-03-06 00:00:00,Original,1.0,7.14,22740.0
Houkago no Pleiades,9911,ONA,Gainax,winter,2011.0,2011-02-01 00:00:00,Original,4.0,6.14,16968.0
Luo Xiao Hei Zhan Ji,33443,ONA,          -,winter,2011.0,2011-03-17 00:00:00,Original,28.0,7.64,3765.0
SKET Dance: SD Character Flash Anime,16718,ONA,Tatsunoko Production,winter,2011.0,2011-03-07 00:00:00,-,16.0,6.49,3380.0
A Log Day of Timbre,38712,ONA,          -,winter,2011.0,2011-02-25 00:00:00,Original,1.0,4.62,684.0
Timbre A to Z,28591,ONA,          -,winter,2011.0,2011-01-22 00:00:00,Original,26.0,4.62,681.0
Kawaii Cook-san,24807,ONA,Kachidoki Studio,winter,2011.0,2011-03-02 00:00:00,-,1.0,4.78,388.0
Golden★Kids,10323,ONA,          -,winter,2011.0,2011-01-21 00:00:00,-,2.0,0.0,356.0
Ankoku Cat VS,36636,ONA,Fanworks,winter,2011.0,2011-01-21 00:00:00,Original,3.0,5.62,341.0
Kanai,24049,ONA,          -,winter,2011.0,,-,1.0,0.0,329.0
Monster ni Natta Domerica,24045,ONA,          -,winter,2011.0,,-,1.0,0.0,321.0
Interior,24051,ONA,Echoes,winter,2011.0,,-,1.0,0.0,279.0
Shuukan Shimakou Special,11611,ONA,          -,winter,2011.0,2011-01-04 00:00:00,-,1.0,0.0,267.0
Pinky Monkey x FaFa Collaboration Animation: At Afternoon of Sunny Day,29397,ONA,          -,winter,2011.0,2011-03-31 00:00:00,Other,1.0,5.12,266.0
Kankou Taisen Saitama: Sakuya no Tatakai,30435,ONA,          -,winter,2011.0,2011-03-01 00:00:00,-,4.0,0.0,253.0
Black Lagoon: Roberta's Blood Trail,4901,OVA,Madhouse,winter,2011.0,2010-06-27 00:00:00,Manga,5.0,8.03,242240.0
Baka to Test to Shoukanjuu: Matsuri,9471,OVA,SILVER LINK.,winter,2011.0,2011-02-23 00:00:00,Light novel,2.0,7.59,116637.0
Nichijou: Nichijou no 0-wa,8857,OVA,Kyoto Animation,winter,2011.0,2011-03-12 00:00:00,Manga,1.0,7.4,75250.0
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,9130,OVA,TMS Entertainment,winter,2011.0,2011-02-23 00:00:00,Manga,13.0,8.09,66295.0
Sekaiichi Hatsukoi OVA,8063,OVA,Studio Deen,winter,2011.0,2011-03-22 00:00:00,Manga,2.0,7.9,64615.0
xxxHOLiC: Rou,6864,OVA,Production I.G,winter,2011.0,2010-04-23 00:00:00,Manga,2.0,8.21,62199.0
Naruto x UT,10075,OVA,Studio Pierrot,winter,2011.0,2011-01-01 00:00:00,Manga,1.0,7.39,46572.0
.hack//Quantum,9332,OVA,Kinema Citrus,winter,2011.0,2011-01-28 00:00:00,Original,3.0,7.15,38295.0
Supernatural The Animation,8986,OVA,Madhouse,winter,2011.0,2011-02-23 00:00:00,Other,22.0,6.99,29325.0
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,9347,OVA,"feel., Zexcs",winter,2011.0,2011-02-23 00:00:00,Visual novel,1.0,6.89,25975.0
Nana to Kaoru,9741,OVA,AIC PLUS+,winter,2011.0,2011-03-29 00:00:00,Manga,1.0,5.56,22441.0
Aa! Megami-sama! (2011),9611,OVA,AIC,winter,2011.0,2011-02-23 00:00:00,Manga,3.0,7.33,20305.0
Hakuouki OVA,11663,OVA,Studio Deen,winter,2011.0,,Visual novel,2.0,7.42,12785.0
Kaibutsu Oujo (OVA),9159,OVA,Tatsunoko Production,winter,2011.0,2010-12-09 00:00:00,Manga,3.0,7.06,12152.0
Saiyuuki Gaiden,9088,OVA,Anpro,winter,2011.0,2011-03-25 00:00:00,Manga,3.0,7.82,12121.0
Norageki!,9782,OVA,Sunrise,winter,2011.0,2011-01-22 00:00:00,Original,1.0,6.13,9928.0
Morita-san wa Mukuchi,9774,OVA,Seven,winter,2011.0,2011-03-26 00:00:00,4-koma manga,1.0,6.57,8911.0
Chocolat no Mahou,9935,OVA,SynergySP,winter,2011.0,2011-03-03 00:00:00,Manga,13.0,6.23,7403.0
Shukufuku no Campanella: La Campanella Della Benedizione,9924,OVA,AIC,winter,2011.0,2011-03-30 00:00:00,Visual novel,1.0,6.48,5690.0
Shin Koihime†Musou: Otome Tairan - Gakuensai da yo! Zenin Shuugou no Koto,10297,OVA,Doga Kobo,winter,2011.0,2011-02-02 00:00:00,Visual novel,1.0,6.68,5276.0
T.P. Sakura: Time Paladin Sakura,9393,OVA,Nomad,winter,2011.0,2011-01-27 00:00:00,Visual novel,2.0,5.87,4154.0
Anemone,10516,OVA,          -,winter,2011.0,2011-03-29 00:00:00,-,1.0,6.44,4121.0
The Epic Of ZektBach,10545,OVA,AIC,winter,2011.0,2011-03-21 00:00:00,Music,1.0,5.81,3826.0
Ore-sama Kingdom,9943,OVA,SynergySP,winter,2011.0,,Manga,14.0,6.27,3163.0
Macross F: Choujikuu Gekijou,10361,OVA,Satelight,winter,2011.0,2011-02-03 00:00:00,Original,1.0,6.29,3123.0
Soukou Kihei Votoms: Koei Futatabi,8250,OVA,Sunrise,winter,2011.0,2011-01-08 00:00:00,Original,1.0,6.92,2745.0
Spelunker Sensei,10406,OVA,Studio PuYUKAI,winter,2011.0,2011-03-16 00:00:00,4-koma manga,1.0,5.11,2670.0
Peeping Life: The Perfect Evolution,16373,OVA,          -,winter,2011.0,2011-01-27 00:00:00,Original,10.0,5.49,629.0
Break Blade 5: Shisen no Hate,9724,Movie,"Production I.G, Xebec",winter,2011.0,2011-01-22 00:00:00,Manga,1.0,7.83,53005.0
Break Blade 6: Doukoku no Toride,10092,Movie,"Production I.G, Xebec",winter,2011.0,2011-03-26 00:00:00,Manga,1.0,7.7,51932.0
One Piece 3D: Mugiwara Chase,9999,Movie,Toei Animation,winter,2011.0,2011-03-19 00:00:00,Manga,1.0,7.01,49140.0
Macross F Movie 2: Sayonara no Tsubasa,7222,Movie,"8bit, Satelight",winter,2011.0,2011-02-26 00:00:00,Original,1.0,7.96,24989.0
Ojiisan no Lamp,10500,Movie,Telecom Animation Film,winter,2011.0,2011-03-05 00:00:00,Original,1.0,7.54,18707.0
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,10090,Movie,Production I.G,winter,2011.0,2011-03-26 00:00:00,-,1.0,7.73,14332.0
Toriko 3D: Kaimaku Gourmet Adventure!!,10074,Movie,Toei Animation,winter,2011.0,2011-03-19 00:00:00,Manga,1.0,6.72,6526.0
Kizuna Ichigeki,10016,Movie,Ascension,winter,2011.0,2011-03-05 00:00:00,Original,1.0,6.56,5885.0
Tansu Warashi.,10502,Movie,Production I.G,winter,2011.0,2011-03-05 00:00:00,Original,1.0,6.77,5386.0
Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana,9979,Movie,Toei Animation,winter,2011.0,2011-03-19 00:00:00,Original,1.0,7.5,5198.0
Bannou Yasai Ninninman,10501,Movie,P.A. Works,winter,2011.0,2011-03-05 00:00:00,Original,1.0,5.98,5008.0
Xi Avant,10405,Movie,Production I.G,winter,2011.0,2011-03-26 00:00:00,-,1.0,6.2,3088.0
Shouwa Monogatari (Movie),10013,Movie,          -,winter,2011.0,2011-01-29 00:00:00,-,1.0,6.42,1467.0
Starry Tales: Seiza wa Toki wo Koete,32563,Movie,KAGAYA Studio,winter,2011.0,2011-03-19 00:00:00,Original,1.0,5.36,998.0
Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan,10114,Movie,Ajia-Do,winter,2011.0,2011-03-12 00:00:00,Manga,1.0,6.63,650.0
Ya-Ne-Sen a Go Go,38702,Movie,          -,winter,2011.0,2011-02-03 00:00:00,Original,1.0,5.4,406.0
Hybrid Deka,10238,Movie,          -,winter,2011.0,2011-01-22 00:00:00,-,1.0,0.0,319.0
Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,30099,Movie,          -,winter,2011.0,2011-01-27 00:00:00,-,1.0,0.0,244.0
Durarara!! Specials,8408,Special,Brain's Base,winter,2011.0,2010-08-25 00:00:00,Light novel,2.0,7.87,157840.0
K-On!!: Keikaku!,9734,Special,Kyoto Animation,winter,2011.0,2011-03-16 00:00:00,Original,1.0,7.84,109520.0
Kara no Kyoukai 8: Shuushou,6954,Special,ufotable,winter,2011.0,2011-02-02 00:00:00,Light novel,1.0,7.21,102002.0
Kimi ni Todoke 2nd Season: Kataomoi,10152,Special,Production I.G,winter,2011.0,2011-01-05 00:00:00,Manga,1.0,7.2,64232.0
Kämpfer für die Liebe,10076,Special,Nomad,winter,2011.0,2011-03-06 00:00:00,Light novel,2.0,6.46,55961.0
Freezing Specials,10172,Special,A.C.G.T.,winter,2011.0,2011-03-30 00:00:00,-,6.0,6.58,42197.0
Toaru Majutsu no Index-tan II,10249,Special,J.C.Staff,winter,2011.0,2011-01-26 00:00:00,-,2.0,6.92,35703.0
Hetalia World Series Specials,10497,Special,Studio Deen,winter,2011.0,2011-03-25 00:00:00,Web manga,4.0,7.49,22767.0
Hyakka Ryouran: Samurai Girls Specials,9362,Special,Arms,winter,2011.0,2010-11-25 00:00:00,Light novel,6.0,6.62,22356.0
Otona Joshi no Anime Time,10178,Special,"Bones, Production Reed, The Answer Studio",winter,2011.0,2011-01-07 00:00:00,Novel,4.0,7.38,19485.0
Mitsudomoe: Oppai Ippai Mama Genki,9396,Special,Bridge,winter,2011.0,2011-02-23 00:00:00,-,1.0,7.55,17161.0
Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru,10504,Special,Bones,winter,2011.0,2011-03-26 00:00:00,Light novel,1.0,7.07,14990.0
Kuragehime: Eiyuu Retsuden☆,9754,Special,Brain's Base,winter,2011.0,2011-01-28 00:00:00,Manga,4.0,6.57,14444.0
Haiyoru! Nyaruani: Remember My Love(craft-sensei) Special,10477,Special,DLE,winter,2011.0,2011-03-15 00:00:00,-,1.0,6.17,12641.0
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,31298,Special,SILVER LINK.,winter,2011.0,2011-02-23 00:00:00,-,6.0,6.99,12084.0
Nissan Serena x One Piece 3D: Mugiwara Chase - Sennyuu!! Sauzando Sanii-gou,20871,Special,Toei Animation,winter,2011.0,2011-03-05 00:00:00,Manga,1.0,6.62,9467.0
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,10390,Special,Kinema Citrus,winter,2011.0,2011-01-28 00:00:00,Original,3.0,6.36,7592.0
Inazuma Eleven x Kaitou Gru no Tsuki Dorobou,36913,Special,OLM,winter,2011.0,,Original,4.0,5.93,1935.0
Shin Koihime†Musou: Otome Tairan OVA Omake,15015,Special,          -,winter,2011.0,2011-02-02 00:00:00,Visual novel,1.0,6.25,1702.0
Mai no Mahou to Katei no Hi,9940,Special,P.A. Works,winter,2011.0,2011-02-20 00:00:00,Original,1.0,5.85,1658.0
Shimanchu MiRiKa,10407,Special,          -,winter,2011.0,2011-03-21 00:00:00,-,1.0,5.38,530.0
Peeping Life: The Perfect Evolution Specials,17163,Special,          -,winter,2011.0,2011-01-27 00:00:00,Original,3.0,5.37,479.0
Kamiusagi Rope Specials,30148,Special,          -,winter,2011.0,2011-01-28 00:00:00,Original,2.0,0.0,251.0
Animatope,40003,Special,          -,winter,2011.0,2011-01-14 00:00:00,Original,1.0,5.14,236.0
Soukou Kihei Votoms: Case;Irvine - Tenmatsu,49936,Special,          -,winter,2011.0,2011-02-25 00:00:00,Original,1.0,0.0,168.0
"Saitama-ken Zaijuu, Fujiyama Osamu, 33-sai, Mushoku (NEET).: Fujilog Nyuumon-hen Specials",33857,Special,          -,winter,2011.0,2011-02-18 00:00:00,Original,4.0,0.0,155.0
Tsubuyaki-tai Specials,34164,Special,          -,winter,2011.0,2011-03-25 00:00:00,Original,2.0,0.0,145.0
Steins;Gate,9253,TV (New),White Fox,spring,2011.0,2011-04-06 02:05:00,Visual novel,24.0,9.09,2122353.0
Ao no Exorcist,9919,TV (New),A-1 Pictures,spring,2011.0,2011-04-17 17:00:00,Manga,25.0,7.53,1658391.0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989,TV (New),A-1 Pictures,spring,2011.0,2011-04-15 01:15:00,Original,11.0,8.35,1391317.0
Deadman Wonderland,6880,TV (New),Manglobe,spring,2011.0,2011-04-17 01:00:00,Manga,12.0,7.18,1079621.0
Nichijou,10165,TV (New),Kyoto Animation,spring,2011.0,2011-04-03 02:20:00,Manga,26.0,8.46,750519.0
Gintama',9969,TV (New),Sunrise,spring,2011.0,2011-04-04 18:00:00,Manga,51.0,9.06,437491.0
Kami nomi zo Shiru Sekai II,10080,TV (New),Manglobe,spring,2011.0,2011-04-12 01:30:00,Manga,12.0,7.91,353621.0
Hidan no Aria,8630,TV (New),J.C.Staff,spring,2011.0,2011-04-15 00:00:00,Light novel,12.0,6.83,339770.0
Hanasaku Iroha,9289,TV (New),P.A. Works,spring,2011.0,2011-04-03 22:00:00,Original,26.0,7.93,299728.0
Denpa Onna to Seishun Otoko,9379,TV (New),Shaft,spring,2011.0,2011-04-15 00:00:00,Light novel,12.0,7.15,275154.0
C: The Money of Soul and Possibility Control,10163,TV (New),Tatsunoko Production,spring,2011.0,2011-04-15 00:45:00,Original,11.0,7.21,270620.0
SKET Dance,9863,TV (New),Tatsunoko Production,spring,2011.0,2011-04-07 18:00:00,Manga,77.0,8.23,203330.0
Tiger & Bunny,9941,TV (New),Sunrise,spring,2011.0,2011-04-03 00:00:00,Original,25.0,7.89,201895.0
Sekaiichi Hatsukoi,9926,TV (New),Studio Deen,spring,2011.0,2011-04-09 00:00:00,Manga,12.0,7.71,195641.0
Dog Days,10155,TV (New),Seven Arcs,spring,2011.0,2011-04-02 00:00:00,Original,13.0,6.9,174523.0
Gyakkyou Burai Kaiji: Hakairoku-hen,10271,TV (New),Madhouse,spring,2011.0,2011-04-06 00:59:00,Manga,26.0,8.25,163695.0
Hoshizora e Kakaru Hashi,10079,TV (New),Doga Kobo,spring,2011.0,2011-04-11 09:00:00,Visual novel,12.0,6.73,158816.0
Astarotte no Omocha!,9736,TV (New),Diomedéa,spring,2011.0,2011-04-11 00:00:00,Manga,12.0,6.54,131625.0
Seikon no Qwaser II,10073,TV (New),Hoods Entertainment,spring,2011.0,2011-04-12 02:30:00,Manga,12.0,6.34,123192.0
Toriko,10033,TV (New),Toei Animation,spring,2011.0,2011-04-03 09:00:00,Manga,147.0,7.53,112314.0
A-Channel,9776,TV (New),Studio Gokumi,spring,2011.0,2011-04-08 01:40:00,4-koma manga,12.0,6.95,91998.0
Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,9922,TV (New),Nomad,spring,2011.0,2011-04-04 00:00:00,Visual novel,12.0,6.67,80680.0
"Yondemasu yo, Azazel-san. (TV)",10216,TV (New),Production I.G,spring,2011.0,2011-04-08 00:00:00,Manga,13.0,7.53,69697.0
Inazuma Eleven Go,10507,TV (New),OLM,spring,2011.0,2011-05-04 00:00:00,Game,47.0,6.95,66582.0
Yu☆Gi☆Oh! Zexal,10015,TV (New),Gallop,spring,2011.0,2011-04-11 00:00:00,Manga,73.0,6.35,64484.0
Maria†Holic Alive,9712,TV (New),Shaft,spring,2011.0,2011-04-08 00:00:00,Manga,12.0,6.97,60286.0
30-sai no Hoken Taiiku,9624,TV (New),Gathering,spring,2011.0,2011-04-07 00:00:00,Book,12.0,6.67,57592.0
Sengoku Otome: Momoiro Paradox,10308,TV (New),TMS Entertainment,spring,2011.0,2011-04-05 00:00:00,Game,13.0,6.57,42443.0
HenSemi (TV),10187,TV (New),Xebec,spring,2011.0,2011-04-08 00:00:00,Manga,13.0,6.53,41902.0
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,10444,TV (New),Toei Animation,spring,2011.0,2011-04-03 06:30:00,Original,24.0,7.11,24550.0
X-Men,6919,TV (New),Madhouse,spring,2011.0,2011-04-01 00:00:00,Other,12.0,6.34,24452.0
Hyouge Mono,9996,TV (New),Bee Train,spring,2011.0,2011-04-07 00:00:00,Manga,39.0,7.99,24351.0
Softenni,10109,TV (New),Xebec,spring,2011.0,2011-04-08 00:00:00,Manga,12.0,6.51,22712.0
Moshidora,9693,TV (New),Production I.G,spring,2011.0,2011-04-25 22:55:00,Novel,10.0,6.9,20518.0
Pretty Rhythm: Aurora Dream,10257,TV (New),Tatsunoko Production,spring,2011.0,2011-04-09 10:00:00,Game,51.0,7.36,19057.0
Dororon Enma-kun Meeramera,9493,TV (New),Brain's Base,spring,2011.0,2011-04-08 00:00:00,Manga,12.0,6.5,16427.0
Fireball Charming,10348,TV (New),Jinnis Animation Studios,spring,2011.0,2011-04-04 00:00:00,Original,13.0,6.78,7681.0
Honto ni Atta! Reibai Sensei,10338,TV (New),DLE,spring,2011.0,2011-04-13 00:00:00,Manga,22.0,6.55,7276.0
Shouwa Monogatari,10014,TV (New),WAO World,spring,2011.0,2011-04-04 00:00:00,Original,13.0,6.91,5260.0
Jewelpet Sunshine,10359,TV (New),Studio Comet,spring,2011.0,2011-04-09 00:00:00,Original,52.0,6.61,4359.0
Tono to Issho: Gantai no Yabou,10324,TV (New),Gathering,spring,2011.0,2011-04-05 00:00:00,4-koma manga,12.0,6.45,2852.0
Usavich IV,10513,TV (New),Kanaban Graphics,spring,2011.0,2011-04-23 00:00:00,Original,13.0,6.63,2648.0
Hime Chen! Otogi Chikku Idol Lilpri (2011),31068,TV (New),Telecom Animation Film,spring,2011.0,2011-04-06 00:00:00,-,51.0,6.67,1858.0
Larva,31534,TV (New),          -,spring,2011.0,2011-03-26 00:00:00,Original,26.0,5.89,1561.0
Ba La La Xiao Mo Xian: Caihong Xin Shi,30519,TV (New),Alpha Animation,spring,2011.0,2011-03-26 00:00:00,-,36.0,5.95,1268.0
Ring ni Kakero 1: Sekai Taikai-hen,10346,TV (New),Toei Animation,spring,2011.0,2011-04-10 00:00:00,Manga,6.0,6.41,1219.0
Happy Kappy,10347,TV (New),          -,spring,2011.0,2011-04-06 00:00:00,-,25.0,5.43,1164.0
Puu-Neko,10459,TV (New),DLE,spring,2011.0,2011-04-13 00:00:00,4-koma manga,11.0,0.0,917.0
Genki!! Ekoda-chan,10540,TV (New),DLE,spring,2011.0,2011-04-13 00:00:00,4-koma manga,22.0,5.75,899.0
Ohayou Ninja-tai Gatchaman,31517,TV (New),          -,spring,2011.0,2011-04-18 00:00:00,-,475.0,5.76,666.0
Shiawase Haitatsu Taneko,10506,TV (New),Kachidoki Studio,spring,2011.0,2011-03-26 00:00:00,Original,0.0,0.0,591.0
Shuukan Shimakou,10541,TV (New),DLE,spring,2011.0,2011-04-13 00:00:00,-,11.0,0.0,556.0
Fujilog,10533,TV (New),          -,spring,2011.0,2011-04-04 00:00:00,-,13.0,0.0,498.0
Shiodome Cable TV,10633,TV (New),DLE,spring,2011.0,2011-04-13 00:00:00,-,22.0,0.0,274.0
Sockies: Frontier Quest,8143,TV (New),          -,spring,2011.0,2011-04-15 00:00:00,-,39.0,0.0,268.0
Chao Shou Wuzhuang: Renzhe Wudi,41417,TV (New),          -,spring,2011.0,2011-04-14 00:00:00,-,33.0,0.0,73.0
Naruto: Shippuuden,1735,TV (Continuing),Studio Pierrot,spring,2011.0,2007-02-15 19:30:00,Manga,500.0,8.23,1969677.0
One Piece,21,TV (Continuing),Toei Animation,spring,2011.0,1999-10-20 09:30:00,Manga,0.0,8.62,1737573.0
Bleach,269,TV (Continuing),Studio Pierrot,spring,2011.0,2004-10-05 18:00:00,Manga,366.0,7.83,1541041.0
Fairy Tail,6702,TV (Continuing),"A-1 Pictures, Satelight",spring,2011.0,2009-10-12 10:30:00,Manga,175.0,7.6,1521781.0
Beelzebub,9513,TV (Continuing),Pierrot Plus,spring,2011.0,2011-01-09 00:00:00,Manga,60.0,7.88,523214.0
Gosick,8425,TV (Continuing),Bones,spring,2011.0,2011-01-08 01:23:00,Light novel,24.0,8.07,476506.0
