title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes,score,members
Ninjutsu Hinotama Kozou: Edo no Maki,6833,Movie,          -,fall,1935.0,1935-11-09 00:00:00,Original,1.0,4.06,990.0
Izakaya no Ichiya,6829,Movie,          -,spring,1936.0,1936-06-06 00:00:00,Original,1.0,5.22,844.0
Shinsetsu Kachikachi Yama,31912,Movie,          -,fall,1936.0,,Original,1.0,5.1,563.0
Maabou no Shounen Koukuu Tsuwamono,7500,Movie,          -,fall,1937.0,1937-10-27 00:00:00,Original,1.0,0.0,294.0
Sora no Arawashi,31948,Movie,          -,spring,1938.0,1938-04-20 00:00:00,Original,1.0,0.0,242.0
Maabou no Kinoshita Toukichirou,6841,Movie,          -,fall,1938.0,1938-12-05 00:00:00,Original,1.0,5.06,980.0
Benkei tai Ushiwaka,12561,Movie,          -,summer,1939.0,,Other,1.0,5.28,1062.0
Kachikachi Yama (1940),33135,Movie,          -,winter,1940.0,1940-01-05 00:00:00,Other,1.0,0.0,237.0
Ochou Fujin no Gensou,28143,Movie,          -,spring,1940.0,1940-05-16 00:00:00,Other,1.0,5.69,661.0
Kintarou Taiiku Nikki,7501,Movie,          -,summer,1940.0,1940-09-19 00:00:00,Original,1.0,5.42,450.0
Kangaroo no Tanjoubi,6843,Movie,          -,winter,1941.0,,Original,1.0,5.3,850.0
Tie Shan Gongzhu,9521,Movie,          -,winter,1941.0,1941-01-01 00:00:00,Other,1.0,5.46,831.0
Fuku-chan no Kishuu,23969,Movie,Shochiku Animation Institute,winter,1942.0,1942-03-15 00:00:00,Other,1.0,0.0,317.0
Spy Gekimetsu,27575,Movie,          -,summer,1942.0,1942-07-16 00:00:00,Original,1.0,0.0,359.0
Kumo to Tulip,3990,Movie,Shochiku Animation Institute,spring,1943.0,1943-04-15 00:00:00,Picture book,1.0,5.71,1815.0
Fuku-chan no Zousan Butai,23971,Movie,Shochiku Animation Institute,summer,1943.0,1943-07-01 00:00:00,Other,1.0,0.0,274.0
Malay Oki Kaisen,29782,Movie,          -,fall,1943.0,1943-11-26 00:00:00,Original,1.0,5.37,358.0
Fuku-chan no Sensuikan,7523,Movie,"Asahi Production, Shochiku Animation Institute",fall,1944.0,1944-11-09 00:00:00,Other,1.0,5.03,584.0
Momotarou: Umi no Shinpei,2765,Movie,Shochiku Animation Institute,spring,1945.0,1945-04-12 00:00:00,Original,1.0,5.21,1905.0
Suteneko Tora-chan,5662,Movie,          -,summer,1947.0,1947-09-25 00:00:00,Original,1.0,5.74,1232.0
Tora-chan to Hanayome,12603,Movie,          -,winter,1948.0,,Original,1.0,5.55,943.0
Kachikachi Yama no Shouboutai,30457,Movie,          -,winter,1948.0,1948-02-01 00:00:00,Music,1.0,0.0,325.0
Ousama no Shippo,7526,Movie,          -,fall,1949.0,,Original,1.0,0.0,319.0
Doubutsu Dai Yakyuu Sen,27577,Movie,          -,fall,1949.0,,Original,1.0,0.0,295.0
