title;MAL_id;type;release-season;release-year;crazy-gump score;friends_mean_score;nb_who_watched_it;friend_who_watched_it
Beastars 2nd Season;40935;TV;winter;2021;8;7,333333333;3;"DrNock;Yokanime;Zccdcccc;"
Orange;32729;TV;summer;2016;7;7,333333333;3;"Djidji;Steins02;sazabiron;"
Kuroshitsuji: Book of Circus;22145;TV;summer;2014;;7,333333333;3;"leejongki;Zccdcccc;Steins02;"
Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter;40206;Special;summer;2019;;7,333333333;3;"Djidji;DrNock;Yokanime;"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1;36369;Movie;summer;2019;7;7,333333333;3;"Djidji;Yokanime;Zccdcccc;"
Nagi no Asu kara;16067;TV;fall;2013;8;7,333333333;6;"DrNock;DrNock;Steins02;Steins02;sazabiron;sazabiron;"
Mardock Scramble: The First Compression;8100;Movie;fall;2010;;7,333333333;3;"DrNock;Steins02;SaberXTohsaka;"
Machikado Mazoku;39071;TV;summer;2019;7;7,333333333;3;"Djidji;DrNock;Yokanime;"
AKB0048: Next Stage;14941;TV;winter;2013;;7,333333333;3;"DrNock;Yokanime;Zccdcccc;"
Vinland Saga;37521;TV;summer;2019;9;7,333333333;6;"Djidji;Djidji;Yokanime;Yokanime;Steins02;Steins02;"
Kaguya-hime no Monogatari;16664;Movie;fall;2013;9;7,333333333;3;"DrNock;leejongki;Yokanime;"
Berserk: Ougon Jidai-hen III - Kourin;12115;Movie;winter;2013;;7,333333333;3;"DrNock;Yokanime;Steins02;"
Mahou Shoujo Ikusei Keikaku;33003;TV;fall;2016;;7,333333333;3;"Djidji;Yokanime;SaberXTohsaka;"
Golden Kamuy 3rd Season;40059;TV;fall;2020;8;7,333333333;3;"Djidji;DrNock;Steins02;"
Kimetsu no Yaiba;38000;TV;spring;2019;9;7,333333333;12;"Djidji;Djidji;DrNock;DrNock;leejongki;leejongki;Yokanime;Yokanime;Zccdcccc;Zccdcccc;Steins02;Steins02;"
Seikaisuru Kado;32032;TV;spring;2017;6;7,333333333;3;"Djidji;Yokanime;Zccdcccc;"
Shakunetsu no Takkyuu Musume;33031;TV;fall;2016;;7,333333333;3;"Djidji;DrNock;Yokanime;"
Sakura Quest;34494;TV;spring;2017;;7,333333333;6;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;"
Ryuu to Sobakasu no Hime;44807;Movie;summer;2021;;7,333333333;3;"DrNock;leejongki;Yokanime;"
"Kekkai Sensen &amp; Beyond";34451;TV;fall;2017;6;7,333333333;3;"Yokanime;Zccdcccc;Steins02;"
ViVid Strike!;33589;TV;fall;2016;;7,333333333;3;"Djidji;Yokanime;Zccdcccc;"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari;11981;Movie;fall;2013;9;7,333333333;6;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;SaberXTohsaka;"
Kami nomi zo Shiru Sekai;8525;TV;fall;2010;;7,333333333;6;"Djidji;DrNock;Yokanime;Steins02;SaberXTohsaka;sazabiron;"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare;15335;Movie;summer;2013;;7,333333333;3;"Djidji;leejongki;Steins02;"
Urara Meirochou;32924;TV;winter;2017;;7,333333333;3;"Djidji;DrNock;Yokanime;"
Ryuu no Haisha;34549;Special;winter;2017;;7,333333333;3;"Djidji;DrNock;Steins02;"
Fruits Basket 2nd Season;40417;TV;spring;2020;;7,333333333;6;"Djidji;Djidji;Yokanime;Yokanime;Steins02;Steins02;"
Princess Connect! Re:Dive;39292;TV;spring;2020;8;7,333333333;3;"Djidji;DrNock;Yokanime;"
Kaijuu no Kodomo;37981;Movie;spring;2019;;7,333333333;3;"DrNock;Yokanime;Zccdcccc;"
Fruits Basket 1st Season;38680;TV;spring;2019;;7,333333333;6;"Djidji;Djidji;Yokanime;Yokanime;Steins02;Steins02;"
Kono Bijutsubu ni wa Mondai ga Aru!;31952;TV;summer;2016;;7,333333333;3;"Djidji;DrNock;sazabiron;"
Hyouka: Motsubeki Mono wa;13469;OVA;summer;2012;;7,333333333;3;"DrNock;Yokanime;SaberXTohsaka;"
Little Witch Academia;14349;Movie;winter;2013;;7,333333333;6;"Djidji;DrNock;leejongki;Yokanime;Zccdcccc;Steins02;"
Gatchaman Crowds: Insight - Inbound;30925;ONA;spring;2015;;7,333333333;3;"Djidji;Yokanime;Zccdcccc;"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka;28121;TV;spring;2015;;7,333333333;6;"Djidji;DrNock;Yokanime;Steins02;SaberXTohsaka;sazabiron;"
Zombieland Saga: Revenge;40174;TV;spring;2021;8;7,333333333;3;"Djidji;DrNock;Yokanime;"
Sankarea OVA;13055;OVA;spring;2012;;7,333333333;6;"DrNock;DrNock;SaberXTohsaka;SaberXTohsaka;sazabiron;sazabiron;"
Yuri Kuma Arashi;26165;TV;winter;2015;7;7,333333333;3;"Djidji;DrNock;Yokanime;"
Vivy: Fluorite Eyes Song;46095;TV;spring;2021;7;7,333333333;3;"Djidji;DrNock;Yokanime;"
Lupin the IIIrd: Jigen Daisuke no Bohyou;23293;Movie;spring;2014;8;7,333333333;3;"DrNock;Yokanime;Zccdcccc;"
Zombieland Saga;37976;TV;fall;2018;7;7,333333333;3;"Djidji;DrNock;Yokanime;"
Tsuritama;12883;TV;spring;2012;;7,333333333;3;"DrNock;Yokanime;Steins02;"
Amanchu!;31771;TV;summer;2016;;7,333333333;3;"Djidji;DrNock;Yokanime;"
Gundam Build Fighters Try;24625;TV;fall;2014;;7,333333333;6;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;"
Kyousou Giga (2012);15359;ONA;summer;2012;;7,333333333;3;"DrNock;Yokanime;Steins02;"
Mardock Scramble: The Third Exhaust;12053;Movie;summer;2012;;7,333333333;3;"DrNock;Steins02;SaberXTohsaka;"
Shinryaku! Ika Musume;8557;TV;fall;2010;;7,333333333;3;"Djidji;DrNock;sazabiron;"
Handa-kun;32648;TV;summer;2016;;7,333333333;3;"Djidji;SaberXTohsaka;sazabiron;"
One Piece: Heart of Gold;33338;Special;summer;2016;;7,333333333;3;"leejongki;Steins02;sazabiron;"
Sankarea;11499;TV;spring;2012;;7,333333333;6;"Djidji;DrNock;Zccdcccc;Steins02;SaberXTohsaka;sazabiron;"
Boku no Hero Academia;31964;TV;spring;2016;7;7,285714286;7;"Djidji;DrNock;leejongki;Yokanime;Steins02;SaberXTohsaka;sazabiron;"
Shingeki no Kyojin;16498;TV;spring;2013;6;7,285714286;14;"Djidji;Djidji;DrNock;DrNock;leejongki;leejongki;Yokanime;Yokanime;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;sazabiron;sazabiron;"
Overlord II;35073;TV;winter;2018;;7,25;4;"Djidji;Zccdcccc;Steins02;sazabiron;"
Imouto sae Ireba Ii.;35413;TV;fall;2017;;7,25;4;"Djidji;DrNock;Yokanime;SaberXTohsaka;"
Carnival Phantasm;10012;OVA;summer;2011;;7,25;4;"Djidji;Yokanime;Steins02;SaberXTohsaka;"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV);35507;TV;summer;2017;;7,25;4;"Djidji;Zccdcccc;Steins02;SaberXTohsaka;"
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai;31933;TV;spring;2016;;7,25;12;"Djidji;Djidji;Djidji;Yokanime;Yokanime;Yokanime;Zccdcccc;Zccdcccc;Zccdcccc;Steins02;Steins02;Steins02;"
Magi: The Labyrinth of Magic;14513;TV;fall;2012;;7,25;8;"Djidji;Djidji;DrNock;DrNock;Steins02;Steins02;sazabiron;sazabiron;"
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?;15315;TV;winter;2013;;7,25;4;"Djidji;DrNock;Steins02;SaberXTohsaka;"
K-On!: Live House!;6862;Special;winter;2010;;7,25;4;"DrNock;Zccdcccc;Steins02;sazabiron;"
Shokugeki no Souma: San no Sara;35788;TV;fall;2017;7;7,25;4;"Djidji;leejongki;Steins02;SaberXTohsaka;"
Black Lagoon: Robertas Blood Trail;4901;OVA;spring;2010;;7,25;16;"DrNock;DrNock;DrNock;DrNock;Yokanime;Yokanime;Yokanime;Yokanime;Steins02;Steins02;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;"
Koi wa Ameagari no You ni;34984;TV;winter;2018;8;7,25;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Kaichou wa Maid-sama!;7054;TV;spring;2010;7;7,25;8;"Djidji;Djidji;leejongki;leejongki;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;"
Kami no Tou;40221;TV;spring;2020;7;7,25;4;"Djidji;Yokanime;Zccdcccc;Steins02;"
Grand Blue;37105;TV;summer;2018;7;7,25;4;"Djidji;leejongki;Yokanime;Steins02;"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA;18753;OVA;summer;2013;;7,25;4;"DrNock;Yokanime;Zccdcccc;sazabiron;"
Shoujo☆Kageki Revue Starlight;35503;TV;summer;2018;9;7,25;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Mahouka Koukou no Rettousei;20785;TV;spring;2014;;7,25;8;"Djidji;Djidji;Yokanime;Yokanime;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;"
Kaze Tachinu;16662;Movie;summer;2013;8;7,25;4;"DrNock;leejongki;Yokanime;Steins02;"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders;20899;TV;spring;2014;;7,25;8;"Djidji;Djidji;Yokanime;Yokanime;Zccdcccc;Zccdcccc;Steins02;Steins02;"
Nisekoi:;27787;TV;spring;2015;6;7,25;4;"Djidji;DrNock;SaberXTohsaka;sazabiron;"
Akudama Drive;41433;TV;fall;2020;7;7,25;4;"Djidji;DrNock;Yokanime;Steins02;"
Kokoro ga Sakebitagatterunda.;28725;Movie;summer;2015;9;7,25;4;"Djidji;DrNock;leejongki;Yokanime;"
Id:Invaded;40046;TV;winter;2020;7;7,25;4;"Djidji;DrNock;Yokanime;Steins02;"
Jormungand: Perfect Order;13331;TV;fall;2012;5;7,25;4;"DrNock;Yokanime;Steins02;sazabiron;"
Rokka no Yuusha;28497;TV;summer;2015;6;7,25;4;"Djidji;Yokanime;Zccdcccc;Steins02;"
Kobayashi-san Chi no Maid Dragon S;39247;TV;summer;2021;8;7,25;4;"Djidji;DrNock;leejongki;Yokanime;"
Megalo Box;36563;TV;spring;2018;7;7,25;4;"Djidji;Yokanime;Zccdcccc;Steins02;"
Gin no Saji;16918;TV;summer;2013;;7,25;4;"Djidji;DrNock;Steins02;sazabiron;"
Kaze ga Tsuyoku Fuiteiru;37965;TV;fall;2018;;7,25;8;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;Zccdcccc;Zccdcccc;"
Nisekoi;18897;TV;winter;2014;7;7,25;8;"Djidji;Djidji;DrNock;DrNock;Steins02;Steins02;sazabiron;sazabiron;"
Log Horizon 2nd Season;23321;TV;fall;2014;;7,2;10;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;Zccdcccc;Zccdcccc;sazabiron;sazabiron;"
Tokyo Ghoul;22319;TV;summer;2014;6;7,2;5;"Djidji;leejongki;Steins02;SaberXTohsaka;sazabiron;"
Arakawa Under the Bridge x Bridge;9074;TV;fall;2010;6;7,2;5;"Djidji;DrNock;leejongki;Zccdcccc;Steins02;"
Nichijou;10165;TV;spring;2011;;7,2;10;"Djidji;Djidji;DrNock;DrNock;leejongki;leejongki;Zccdcccc;Zccdcccc;Steins02;Steins02;"
Golden Time;17895;TV;fall;2013;8;7,2;10;"Djidji;Djidji;DrNock;DrNock;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;sazabiron;sazabiron;"
Gatchaman Crowds;18229;TV;summer;2013;;7,2;5;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;"
Kami nomi zo Shiru Sekai II;10080;TV;spring;2011;;7,2;5;"Djidji;DrNock;Yokanime;Steins02;SaberXTohsaka;"
JoJo no Kimyou na Bouken (TV);14719;TV;fall;2012;;7,2;10;"Djidji;Djidji;Yokanime;Yokanime;Zccdcccc;Zccdcccc;Steins02;Steins02;sazabiron;sazabiron;"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;42203;TV;winter;2021;6;7,2;5;"Djidji;DrNock;leejongki;Yokanime;Steins02;"
Kuroko no Basket 3rd Season;24415;TV;winter;2015;;7,2;10;"Djidji;Djidji;leejongki;leejongki;Yokanime;Yokanime;Steins02;Steins02;sazabiron;sazabiron;"
One Piece Film: Gold;31490;Movie;summer;2016;;7,166666667;6;"Djidji;DrNock;leejongki;Yokanime;Steins02;sazabiron;"
Psycho-Pass;13601;TV;fall;2012;7;7,166666667;12;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;Zccdcccc;Zccdcccc;Steins02;Steins02;sazabiron;sazabiron;"
Himouto! Umaru-chan;28825;TV;summer;2015;6;7,166666667;6;"Djidji;DrNock;Yokanime;Zccdcccc;SaberXTohsaka;sazabiron;"
Baka to Test to Shoukanjuu;6347;TV;winter;2010;;7,125;8;"Djidji;DrNock;leejongki;Yokanime;Zccdcccc;Steins02;SaberXTohsaka;sazabiron;"
Baka to Test to Shoukanjuu Ni!;8516;TV;summer;2011;;7,125;8;"Djidji;DrNock;leejongki;Yokanime;Zccdcccc;Steins02;SaberXTohsaka;sazabiron;"
Kore wa Zombie Desu ka? of the Dead;10790;TV;spring;2012;;7;4;"Djidji;Zccdcccc;Steins02;SaberXTohsaka;"
Isekai wa Smartphone to Tomo ni.;35203;TV;summer;2017;;7;2;"Djidji;sazabiron;"
Cider no You ni Kotoba ga Wakiagaru;39175;Movie;summer;2021;;7;4;"DrNock;leejongki;Yokanime;Zccdcccc;"
Love Live! Sunshine!! 2nd Season;34973;TV;fall;2017;;7;2;"DrNock;Yokanime;"
Isekai Shokudou;34012;TV;summer;2017;;7;2;"Djidji;Yokanime;"
Mobile Suit Gundam Thunderbolt: Bandit Flower;35949;Movie;fall;2017;;7;1;"DrNock;"
Taisou Zamurai;42668;TV;fall;2020;7;7;2;"Djidji;DrNock;"
Africa no Salaryman (TV);39590;TV;fall;2019;3;7;1;"Djidji;"
Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.;39324;TV;summer;2019;6;7;1;"Djidji;"
Tejina-senpai;38610;TV;summer;2019;;7;2;"Djidji;Zccdcccc;"
Koi to Uso;34934;TV;summer;2017;7;7;1;"Djidji;"
Gamers!;34280;TV;summer;2017;6;7;2;"Djidji;Yokanime;"
Super Cub;40685;TV;spring;2021;7;7;2;"DrNock;Yokanime;"
Hisone to Maso-tan;36884;TV;spring;2018;8;7;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Yuukoku no Moriarty;40911;TV;fall;2020;;7;3;"Djidji;DrNock;Steins02;"
Kuragehime;8129;TV;fall;2010;;7;3;"DrNock;Yokanime;Steins02;"
Mobile Suit Gundam: The Origin;10937;OVA;winter;2015;;7;7;"Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;"
Bakuten!!;43756;TV;spring;2021;;7;3;"Djidji;DrNock;Yokanime;"
Digimon Adventure tri. 3: Kokuhaku;32551;Movie;summer;2016;;7;2;"leejongki;Zccdcccc;"
Bokutachi wa Benkyou ga Dekinai;38186;TV;spring;2019;6;7;1;"Djidji;"
Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu;27857;ONA;fall;2014;;7;1;"Yokanime;"
Bungou Stray Dogs 3rd Season;38003;TV;spring;2019;6;7;4;"Djidji;DrNock;Yokanime;Steins02;"
Tribe Cool Crew;26453;TV;fall;2014;;7;4;"Yokanime;Yokanime;Yokanime;Yokanime;"
Ojiisan no Lamp;10500;Movie;winter;2011;;7;4;"Djidji;DrNock;leejongki;Steins02;"
Mashiro-iro Symphony: The Color of Lovers;10397;TV;fall;2011;;7;1;"Djidji;"
Shakugan no Shana III (Final);6773;TV;fall;2011;;7;8;"Djidji;Djidji;Zccdcccc;Zccdcccc;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;"
Shinryaku!? Ika Musume;10378;TV;fall;2011;;7;3;"Djidji;DrNock;sazabiron;"
Hataraku Saibou Black (TV);41694;TV;winter;2021;6;7;1;"Djidji;"
Dr. Stone: Stone Wars;40852;TV;winter;2021;;7;3;"Djidji;Yokanime;Steins02;"
Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai;24627;OVA;fall;2014;;7;1;"Yokanime;"
Azur Lane: Bisoku Zenshin!;40930;TV;winter;2021;;7;1;"Djidji;"
Dumbbell Nan Kilo Moteru?;39026;TV;summer;2019;;7;4;"Djidji;DrNock;leejongki;Yokanime;"
2.43: Seiin Koukou Danshi Volley-bu;40679;TV;winter;2021;6;7;1;"Djidji;"
Given;39533;TV;summer;2019;;7;3;"Djidji;leejongki;Yokanime;"
Love Live! Superstar!!;41169;TV;summer;2021;;7;2;"DrNock;Yokanime;"
Binan Koukou Chikyuu Boueibu LOVE!;27727;TV;winter;2015;;7;1;"Yokanime;"
Omae Umasou da na;9204;Movie;fall;2010;;7;1;"DrNock;"
Wasurenagumo;13171;Movie;winter;2012;;7;3;"Djidji;DrNock;Steins02;"
Kami-tachi ni Hirowareta Otoko;41312;TV;fall;2020;;7;1;"Djidji;"
Koisuru Asteroid;39388;TV;winter;2020;5;7;3;"Djidji;DrNock;Yokanime;"
Aikatsu Stars!;32717;TV;spring;2016;;7;8;"Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;"
Heya Camp△;38476;TV;winter;2020;;7;3;"Djidji;DrNock;Yokanime;"
Kizuna Ichigeki;10016;Movie;winter;2011;;7;1;"DrNock;"
Macross F Movie 2: Sayonara no Tsubasa;7222;Movie;winter;2011;;7;3;"DrNock;Yokanime;Zccdcccc;"
"ChäoS;Child: Silent Sky";35315;Movie;spring;2017;;7;1;"Djidji;"
Persona 5 the Animation: The Day Breakers;31645;Special;summer;2016;;7;2;"Yokanime;Zccdcccc;"
Working!!;10521;TV;fall;2011;;7;3;"Djidji;DrNock;Zccdcccc;"
Ishuzoku Reviewers;40010;TV;winter;2020;8;7;2;"Djidji;leejongki;"
Jibaku Shounen Hanako-kun;39534;TV;winter;2020;8;7;2;"Djidji;DrNock;"
Enen no Shouboutai: Ni no Shou;40956;TV;summer;2020;5;7;6;"Djidji;Djidji;DrNock;DrNock;Steins02;Steins02;"
Darwins Game;38656;TV;winter;2020;7;7;2;"Djidji;Steins02;"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV);38256;TV;winter;2020;;7;3;"Djidji;DrNock;Yokanime;"
Ani ni Tsukeru Kusuri wa Nai!;35015;TV;spring;2017;;7;1;"Djidji;"
Alice to Zouroku;34350;TV;spring;2017;7;7;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Cure Miracle to Mofurun no Mahou Lesson;33669;Movie;fall;2016;;7;1;"Yokanime;"
Youjo Shenki;34742;ONA;winter;2017;;7;1;"Djidji;"
Kobato.;5678;TV;winter;2010;;7;2;"leejongki;Steins02;"
Amagami SS;8676;TV;summer;2010;6;7;4;"Djidji;Djidji;SaberXTohsaka;SaberXTohsaka;"
Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!;33183;Movie;fall;2016;;7;1;"Yokanime;"
Jashin-chan Dropkick;39049;ONA;spring;2020;;7;1;"Djidji;"
Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou;40496;TV;summer;2020;8;7;2;"Djidji;Steins02;"
Yuyushiki: Komarasetari, Komarasaretari;33035;OVA;winter;2017;;7;1;"DrNock;"
Babylon;37525;TV;fall;2019;7;7;3;"Djidji;Yokanime;Steins02;"
Sakurada Reset;34102;TV;spring;2017;;7;2;"Djidji;Djidji;"
Aho Girl;34881;TV;summer;2017;;7;2;"Djidji;SaberXTohsaka;"
Acchi Kocchi;12291;TV;spring;2012;;7;4;"Djidji;DrNock;Yokanime;Steins02;"
Senki Zesshou Symphogear GX;21573;TV;summer;2015;5;7;3;"Yokanime;Zccdcccc;SaberXTohsaka;"
Zero no Tsukaima F;11319;TV;winter;2012;7;7;4;"Djidji;Zccdcccc;Steins02;SaberXTohsaka;"
Star Driver: Kagayaki no Takuto;8934;TV;fall;2010;;7;4;"DrNock;DrNock;Yokanime;Yokanime;"
Naruto SD: Rock Lee no Seishun Full-Power Ninden;12979;TV;spring;2012;;7;4;"leejongki;leejongki;leejongki;leejongki;"
Tate no Yuusha no Nariagari;35790;TV;winter;2019;4;7;6;"Djidji;Djidji;Zccdcccc;Zccdcccc;Steins02;Steins02;"
Kyoto Animation: Kasa-hen;17815;Special;spring;2012;;7;2;"leejongki;Yokanime;"
Usagi Drop Specials;11113;Special;fall;2011;;7;8;"Djidji;Djidji;DrNock;DrNock;leejongki;leejongki;sazabiron;sazabiron;"
Papa no Iukoto wo Kikinasai!;11179;TV;winter;2012;;7;4;"Djidji;DrNock;Zccdcccc;sazabiron;"
Quanzhi Gaoshou 2;37932;ONA;summer;2020;;7;1;"Djidji;"
No Guns Life;39539;TV;fall;2019;6;7;2;"Djidji;Zccdcccc;"
Saenai Heroine no Sodatekata ♭;30727;TV;spring;2017;;7;4;"Djidji;DrNock;Yokanime;SaberXTohsaka;"
Ore wo Suki nano wa Omae dake ka yo;38483;TV;fall;2019;7;7;1;"Djidji;"
Radiant 2nd Season;39355;TV;fall;2019;;7;2;"Djidji;Djidji;"
Uzaki-chan wa Asobitai!;41226;TV;summer;2020;6;7;1;"Djidji;"
Shokugeki no Souma: Shin no Sara;39940;TV;fall;2019;6;7;3;"Djidji;leejongki;Steins02;"
The God of High School;41353;TV;summer;2020;6;7;4;"Djidji;Yokanime;Zccdcccc;Steins02;"
Star Wars: Visions;49357;ONA;summer;2021;;7;2;"DrNock;Yokanime;"
Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!;37393;TV;fall;2019;6;7;1;"Djidji;"
Persona 4 the Golden Animation;24075;TV;summer;2014;;7;1;"Yokanime;"
Ijiranaide, Nagatoro-san;42361;TV;spring;2021;6;7;2;"Djidji;DrNock;"
Bishounen Tanteidan;40752;TV;spring;2021;;7;3;"Djidji;DrNock;Yokanime;"
Violet Evergarden Movie;37987;Movie;summer;2020;;7;2;"leejongki;Yokanime;"
Ryuuou no Oshigoto!;35905;TV;winter;2018;;7;3;"Djidji;DrNock;SaberXTohsaka;"
Jashin-chan Dropkick;36906;TV;summer;2018;;7;1;"Djidji;"
Mobile Suit Gundam: The Origin - Advent of the Red Comet;39592;TV;spring;2019;;7;2;"DrNock;DrNock;"
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita;8888;Movie;summer;2012;;7;2;"Yokanime;sazabiron;"
Shinigami Bocchan to Kuro Maid;47257;TV;summer;2021;;7;2;"Djidji;Steins02;"
Poputepipikku;35330;TV;winter;2018;7;7;2;"Djidji;leejongki;"
Satsuriku no Tenshi;35994;TV;summer;2018;;7;1;"Djidji;"
Meikyuu Black Company;42340;TV;summer;2021;;7;1;"Djidji;"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season - Kakusei Zenya;41530;TV;summer;2021;;7;3;"Djidji;DrNock;Yokanime;"
Boku wa Tomodachi ga Sukunai;10719;TV;fall;2011;7;7;5;"Djidji;DrNock;Zccdcccc;SaberXTohsaka;sazabiron;"
Yuragi-sou no Yuuna-san;36726;TV;summer;2018;;7;1;"Djidji;"
Uramichi Oniisan;40620;TV;summer;2021;;7;1;"Djidji;"
Persona 4 the Animation: No One is Alone;13587;Special;summer;2012;;7;1;"Yokanime;"
Cencoroll Connect;9488;Movie;spring;2019;;7;1;"DrNock;"
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿;37442;Movie;winter;2019;;7;4;"DrNock;Yokanime;Zccdcccc;Steins02;"
Asobi Asobase Specials;38002;Special;fall;2018;;7;1;"Djidji;"
Genjitsu Shugi Yuusha no Oukoku Saikenki;41710;TV;summer;2021;;7;1;"Djidji;"
Fate/Extra: Last Encore;33047;TV;winter;2018;;7;3;"Djidji;Yokanime;SaberXTohsaka;"
Deatte 5-byou de Battle;43814;TV;summer;2021;;7;1;"Djidji;"
Golden Kamuy 2nd Season;37989;TV;fall;2018;8;7;3;"Djidji;DrNock;Steins02;"
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow;37027;Movie;winter;2019;;7;2;"DrNock;Yokanime;"
Saraiya Goyou;7588;TV;spring;2010;;7;1;"DrNock;"
Yuru Yuri;10495;TV;summer;2011;;7;5;"Djidji;DrNock;Yokanime;Zccdcccc;SaberXTohsaka;"
Shingeki no Kyojin: The Final Season Part 2;48583;TV;winter;2022;;7;1;"leejongki;"
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara;9047;OVA;summer;2010;;7;2;"DrNock;Zccdcccc;"
Jinrui wa Suitai Shimashita Specials;15617;Special;summer;2012;;7;3;"Djidji;DrNock;Yokanime;"
"Tiger &amp; Bunny";9941;TV;spring;2011;;7;2;"Yokanime;Yokanime;"
Kämpfer für die Liebe;10076;Special;winter;2011;;7;1;"Yokanime;"
Tsuki no Sango;12867;Movie;fall;2010;;7;1;"Yokanime;"
Golden Kamuy;36028;TV;spring;2018;7;7;3;"Djidji;DrNock;Steins02;"
Sora no Method: Mou Hitotsu no Negai;38891;ONA;fall;2019;;7;1;"DrNock;"
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky;9201;OVA;fall;2010;;7;1;"Yokanime;"
Tu Bian Ying Xiong Leaf;35044;ONA;spring;2018;5;7;1;"Djidji;"
Full Metal Panic! Invisible Victory;31931;TV;spring;2018;;7;1;"Djidji;"
High Score;10958;TV;fall;2011;;7;1;"Yokanime;"
Lupin III: Chi no Kokuin - Eien no Mermaid;11777;Special;fall;2011;;7;1;"Yokanime;"
Angolmois: Genkou Kassenki;35834;TV;summer;2018;7;7;1;"Djidji;"
Slow Start;35540;TV;winter;2018;;7;3;"Djidji;DrNock;Yokanime;"
Moyashimon Returns;13409;TV;summer;2012;;7;4;"Djidji;DrNock;Steins02;sazabiron;"
Persona 4 the Animation;10588;TV;fall;2011;;7;2;"Yokanime;Yokanime;"
Ani ni Tsukeru Kusuri wa Nai! 2;37924;TV;summer;2018;;7;2;"Djidji;Djidji;"
Chio-chan no Tsuugakuro;35821;TV;summer;2018;6;7;2;"Djidji;DrNock;"
Blood-C: The Last Dark;10681;Movie;spring;2012;;7;2;"Yokanime;Steins02;"
Fate/Extra: Last Encore - Illustrias Tendousetsu;37651;TV;summer;2018;;7;1;"Djidji;"
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials;10020;ONA;winter;2011;;7;6;"DrNock;DrNock;Yokanime;Yokanime;Zccdcccc;Zccdcccc;"
Sono Bisque Doll wa Koi wo Suru;48736;TV;winter;2022;;7;2;"leejongki;Yokanime;"
Totsukuni no Shoujo;39495;OVA;summer;2019;;7;1;"DrNock;"
Hataraku Saibou (TV);37141;TV;summer;2018;;7;2;"Djidji;DrNock;"
Tenki no Ko;38826;Movie;summer;2019;;7;4;"leejongki;Yokanime;Zccdcccc;Steins02;"
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season;44881;TV;summer;2021;;7;1;"Djidji;"
Kick-Heart;16149;Movie;spring;2013;;7;1;"Yokanime;"
Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude;24371;Special;spring;2014;;7;1;"Yokanime;"
Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami;21241;ONA;fall;2013;;7;1;"Yokanime;"
