title;MAL_id;type;release-season;release-year;crazy-gump score;friends_mean_score;nb_who_watched_it;friend_who_watched_it
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen;40591;TV;spring;2020;8;8,4;5;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;"
Overlord III;37675;TV;summer;2018;;8,333333333;3;"Djidji;Steins02;sazabiron;"
Heartcatch Precure!;7645;TV;winter;2010;;8,333333333;12;"DrNock;DrNock;DrNock;DrNock;Yokanime;Yokanime;Yokanime;Yokanime;Zccdcccc;Zccdcccc;Zccdcccc;Zccdcccc;"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season;40815;TV;spring;2020;8;8,333333333;3;"Djidji;Yokanime;Zccdcccc;"
Houseki no Kuni (TV);35557;TV;fall;2017;8;8,333333333;3;"Djidji;DrNock;Yokanime;"
Mahoutsukai no Yome;35062;TV;fall;2017;8;8,333333333;6;"Djidji;Djidji;Zccdcccc;Zccdcccc;Steins02;Steins02;"
Yowamushi Pedal;18179;TV;fall;2013;;8,333333333;9;"Djidji;Djidji;Djidji;Steins02;Steins02;Steins02;sazabiron;sazabiron;sazabiron;"
Yuru Camp△ Season 2;38474;TV;winter;2021;8;8,333333333;3;"Djidji;DrNock;Yokanime;"
Mob Psycho 100 II;37510;TV;winter;2019;8;8,333333333;3;"Djidji;Yokanime;Steins02;"
86;41457;TV;spring;2021;6;8,333333333;3;"Djidji;DrNock;Yokanime;"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku;23847;TV;spring;2015;7;8,333333333;6;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;sazabiron;"
Wonder Egg Priority;43299;TV;winter;2021;9;8,333333333;3;"DrNock;Yokanime;Zccdcccc;"
Kara no Kyoukai 8: Shuushou;6954;Special;winter;2011;;8,333333333;3;"Yokanime;Steins02;SaberXTohsaka;"
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?;33502;TV;spring;2017;5;8,333333333;3;"Djidji;Yokanime;Steins02;"
Chihayafuru;10800;TV;fall;2011;;8,25;8;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;Steins02;Steins02;"
Ping Pong the Animation;22135;TV;spring;2014;;8,25;4;"Djidji;DrNock;Yokanime;Steins02;"
Eizouken ni wa Te wo Dasu na!;39792;TV;winter;2020;7;8,25;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Ansatsu Kyoushitsu 2nd Season;30654;TV;winter;2016;8;8,25;8;"Djidji;Djidji;DrNock;DrNock;leejongki;leejongki;sazabiron;sazabiron;"
Youjo Senki;32615;TV;winter;2017;;8,25;4;"Djidji;Steins02;SaberXTohsaka;sazabiron;"
Kiseijuu: Sei no Kakuritsu;22535;TV;fall;2014;8;8,2;10;"Djidji;Djidji;Yokanime;Yokanime;Zccdcccc;Zccdcccc;Steins02;Steins02;sazabiron;sazabiron;"
Yoru wa Mijikashi Arukeyo Otome;34537;Movie;spring;2017;;8,2;5;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;"
Hunter x Hunter (2011);11061;TV;fall;2011;8;8,166666667;72;"Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Steins02;Steins02;Steins02;Steins02;Steins02;Steins02;Steins02;Steins02;Steins02;Steins02;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;SaberXTohsaka;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;"
Mawaru Penguindrum;10721;TV;summer;2011;7;8,166666667;12;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;Zccdcccc;Zccdcccc;Steins02;Steins02;sazabiron;sazabiron;"
Fate/Zero;10087;TV;fall;2011;8;8,142857143;7;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;SaberXTohsaka;sazabiron;"
Mo Dao Zu Shi;37208;ONA;summer;2018;;8;2;"Djidji;Djidji;"
Working!!!: Lord of the Takanashi;31715;Special;winter;2016;8;8;3;"Djidji;DrNock;Zccdcccc;"
Shingeki no Kyojin Season 3;35760;TV;summer;2018;7;8;2;"Djidji;leejongki;"
Fate/stay night: Unlimited Blade Works Prologue;27821;Special;fall;2014;;8;6;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;sazabiron;"
Gundam Build Fighters;19319;TV;fall;2013;;8;6;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;"
Da Yu Hai Tang (Movie);10259;Movie;summer;2016;;8;1;"Djidji;"
Kizumonogatari II: Nekketsu-hen;31757;Movie;summer;2016;;8;5;"Djidji;DrNock;Yokanime;Steins02;SaberXTohsaka;"
Nisekoi: OVA;32553;OVA;winter;2016;;8;1;"Djidji;"
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!;32380;OVA;spring;2016;;8;2;"Djidji;Zccdcccc;"
Shigatsu wa Kimi no Uso;23273;TV;fall;2014;6;8;16;"Djidji;Djidji;DrNock;DrNock;leejongki;leejongki;Yokanime;Yokanime;Zccdcccc;Zccdcccc;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;sazabiron;sazabiron;"
New Initial D Movie: Legend 3 - Mugen;30952;Movie;winter;2016;6;8;1;"Djidji;"
Manga de Wakaru! Fate/Grand Order;38958;Special;fall;2018;;8;2;"Djidji;Yokanime;"
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai;37450;TV;fall;2018;;8;5;"Djidji;DrNock;Yokanime;Zccdcccc;SaberXTohsaka;"
Uma Musume: Pretty Derby - BNW no Chikai;37916;Special;fall;2018;;8;1;"Djidji;"
Zoku Owarimonogatari;36999;Movie;fall;2018;;8;2;"Djidji;Yokanime;"
5-toubun no Hanayome;38101;TV;winter;2019;6;8;1;"Djidji;"
Ajin;31580;TV;winter;2016;8;8;3;"Djidji;Steins02;sazabiron;"
Utawarerumono: Itsuwari no Kamen;30901;TV;fall;2015;6;8;2;"Djidji;Djidji;"
Working!!!;25879;TV;summer;2015;9;8;3;"Djidji;DrNock;Zccdcccc;"
Watashi ni Tenshi ga Maiorita!;37993;TV;winter;2019;;8;1;"Djidji;"
Youjo Senki Movie;37055;Movie;winter;2019;;8;2;"Djidji;Steins02;"
Gatchaman Crowds: Insight;21039;TV;summer;2015;;8;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Karakai Jouzu no Takagi-san: Water Slide;37621;OVA;summer;2018;;8;1;"Djidji;"
Owarimonogatari 2nd Season;35247;TV;summer;2017;;8;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Wotaku ni Koi wa Muzukashii;35968;TV;spring;2018;6;8;2;"Djidji;Steins02;"
Emiya-san Chi no Kyou no Gohan;37033;ONA;winter;2018;;8;9;"Djidji;Djidji;Djidji;DrNock;DrNock;DrNock;Yokanime;Yokanime;Yokanime;"
3-gatsu no Lion 2nd Season;35180;TV;fall;2017;9;8;8;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;Zccdcccc;Zccdcccc;"
New Initial D Movie: Legend 2 - Tousou;28881;Movie;spring;2015;8;8;1;"Djidji;"
Fate/stay night Movie: Heavens Feel - I. Presage Flower;25537;Movie;fall;2017;7;8;4;"Djidji;Yokanime;Steins02;SaberXTohsaka;"
Made in Abyss;34599;TV;summer;2017;8;8;4;"Djidji;DrNock;Yokanime;Steins02;"
Joshikousei no Mudazukai;38619;TV;summer;2019;;8;1;"Djidji;"
Uchouten Kazoku 2;34076;TV;spring;2017;8;8;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Inuyashiki;34542;TV;fall;2017;7;8;2;"Djidji;sazabiron;"
Quanzhi Gaoshou;33926;ONA;spring;2017;;8;1;"Djidji;"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen;33095;TV;winter;2017;8;8;2;"Djidji;Yokanime;"
Kizumonogatari III: Reiketsu-hen;31758;Movie;winter;2017;;8;4;"Djidji;DrNock;Yokanime;SaberXTohsaka;"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou;34284;TV;fall;2017;7;8;2;"Djidji;Yokanime;"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA;33161;OVA;fall;2016;;8;3;"Djidji;DrNock;Yokanime;"
Koe no Katachi;28851;Movie;summer;2016;8;8;7;"Djidji;DrNock;leejongki;Yokanime;Steins02;SaberXTohsaka;sazabiron;"
Kubikiri Cycle: Aoiro Savant to Zaregototsukai;33263;OVA;fall;2016;;8;8;"Djidji;Djidji;Djidji;Djidji;Yokanime;Yokanime;Yokanime;Yokanime;"
Fune wo Amu;32948;TV;fall;2016;7;8;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Drifters;31339;TV;fall;2016;8;8;2;"Djidji;Steins02;"
Ajin 2nd Season;33253;TV;fall;2016;7;8;2;"Djidji;sazabiron;"
3-gatsu no Lion;31646;TV;fall;2016;7;8;8;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;Zccdcccc;Zccdcccc;"
Planetarian: Chiisana Hoshi no Yume;33091;ONA;summer;2016;;8;2;"Djidji;sazabiron;"
Cike Wu Liuqi;38409;ONA;spring;2018;;8;1;"Djidji;"
Seitokai Yakuindomo* OVA;26123;OVA;spring;2014;;8;6;"Djidji;Djidji;Djidji;Zccdcccc;Zccdcccc;Zccdcccc;"
New Initial D Movie: Legend 1 - Kakusei;19613;Movie;summer;2014;9;8;1;"Djidji;"
Pokemon XY;19291;TV;fall;2013;;8;8;"Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;"
New Game!!;34914;TV;summer;2017;;8;4;"Djidji;DrNock;Yokanime;SaberXTohsaka;"
Baja no Studio;35965;OVA;fall;2017;;8;2;"Djidji;DrNock;"
Tensura Nikki: Tensei shitara Slime Datta Ken;41488;TV;spring;2021;;8;1;"Djidji;"
Karakai Jouzu no Takagi-san 2;38993;TV;summer;2019;8;8;2;"Djidji;Yokanime;"
Shoujo☆Kageki Revue Starlight Specials;38050;Special;fall;2018;;8;1;"Yokanime;"
Aikatsu Planet!;42653;TV;winter;2021;;8;2;"Yokanime;Yokanime;"
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo;40665;Movie;summer;2020;;8;1;"Yokanime;"
Shirobako Movie;37804;Movie;winter;2020;;8;1;"Yokanime;"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA;40841;OVA;winter;2020;;8;2;"Yokanime;Zccdcccc;"
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi;39651;OVA;summer;2019;;8;1;"Yokanime;"
Hibike! Euphonium Movie 3: Chikai no Finale;35678;Movie;spring;2019;;8;1;"Yokanime;"
"Carole &amp; Tuesday";37435;TV;spring;2019;;8;4;"Yokanime;Yokanime;Zccdcccc;Zccdcccc;"
Star☆Twinkle Precure;38578;TV;winter;2019;;8;4;"Yokanime;Yokanime;Yokanime;Yokanime;"
Doraemon Movie 38: Nobita no Takarajima;35740;Movie;winter;2018;;8;1;"Yokanime;"
Artiswitch;49066;ONA;spring;2021;;8;1;"Yokanime;"
Ano Hi no Kanojo-tachi;37589;ONA;winter;2018;;8;4;"Yokanime;Yokanime;Yokanime;Yokanime;"
The iDOLM@STER Prologue SideM: Episode of Jupiter;36186;Special;fall;2017;;8;1;"Yokanime;"
Granblue Fantasy The Animation: Kabocha no Lantern;35814;Special;fall;2017;;8;1;"Yokanime;"
Gundam Build Fighters: Battlogue;35567;ONA;summer;2017;;8;1;"Yokanime;"
Magic-Kyun! Renaissance;33299;TV;fall;2016;;8;1;"Yokanime;"
Aikatsu!: Nerawareta Mahou no Aikatsu! Card;32806;Movie;summer;2016;;8;1;"Yokanime;"
Aikatsu Stars! Movie;31485;Movie;summer;2016;;8;1;"Yokanime;"
Bishoujo Senshi Sailor Moon Crystal Season III;31733;TV;spring;2016;;8;1;"Yokanime;"
Tropical-Rouge! Precure;44191;TV;winter;2021;;8;4;"Yokanime;Yokanime;Yokanime;Yokanime;"
86 Part 2;48569;TV;fall;2021;;8;2;"Yokanime;Yokanime;"
Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!;29868;Movie;fall;2015;;8;1;"Yokanime;"
Lupin III (2015) Specials;33074;Special;summer;2015;;8;1;"Zccdcccc;"
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi;16395;OVA;winter;2013;;8;1;"sazabiron;"
Baby Steps;21185;TV;spring;2014;;8;4;"Steins02;Steins02;sazabiron;sazabiron;"
Mardock Scramble: The Second Combustion;10624;Movie;summer;2011;;8;2;"Steins02;SaberXTohsaka;"
Natsume Yuujinchou Roku Specials;36275;Special;summer;2017;;8;1;"Zccdcccc;"
Natsume Yuujinchou Roku;34591;TV;spring;2017;;8;1;"Zccdcccc;"
Natsume Yuujinchou Go;32983;TV;fall;2016;;8;1;"Zccdcccc;"
Garo Movie: Divine Flame;28539;Movie;spring;2016;;8;1;"Zccdcccc;"
Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season;30549;TV;fall;2015;;8;1;"Zccdcccc;"
Soukyuu no Fafner: Dead Aggressor - Exodus;17080;TV;winter;2015;;8;1;"Zccdcccc;"
Lupin III: Part 6;49040;TV;fall;2021;;8;2;"Yokanime;Yokanime;"
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune;23249;Movie;fall;2014;7;8;1;"Zccdcccc;"
Break Blade;22433;TV;spring;2014;7;8;2;"Zccdcccc;Steins02;"
009 Re:Cyborg;11755;Movie;fall;2012;;8;1;"Zccdcccc;"
Mitsudomoe: Oppai Ippai Mama Genki;9396;Special;winter;2011;;8;1;"Zccdcccc;"
Mitsudomoe Zouryouchuu!;9510;TV;winter;2011;;8;1;"Zccdcccc;"
Bakuman.;7674;TV;fall;2010;;8;6;"Zccdcccc;Zccdcccc;Steins02;Steins02;sazabiron;sazabiron;"
Princess Connect! Re:Dive Season 2;42670;TV;winter;2022;;8;1;"Yokanime;"
Lupin III: Part 6 - Jidai;50094;Special;fall;2021;;8;1;"Yokanime;"
Mobile Suit Gundam Thunderbolt;31973;ONA;fall;2015;;8;1;"Yokanime;"
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!;30845;Movie;summer;2015;;8;1;"Yokanime;"
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note;38959;TV;summer;2019;;8;3;"Djidji;DrNock;Yokanime;"
