title,MAL_id,type,release-season,release-year,yokanime score,friends_mean_score,nb_who_watched_it,friend_who_watched_it
Daybreak Interlude,36289.0,Music,summer,2017.0,,10.0,2.0,Hakey;Hakey;
Vexille: 2077 Nihon Sakoku,2746.0,Movie,summer,2007.0,,10.0,2.0,Ramou;Ramou;
Yami no Matsuei,553.0,TV,fall,2000.0,,10.0,1.0,Momichi;
Leopard Eyes,32031.0,Music,fall,2015.0,,10.0,2.0,Hakey;Hakey;
Popee the Performer,6560.0,TV,winter,2000.0,,10.0,16.0,Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;
Gun-dou Musashi,1200.0,TV,spring,2006.0,,10.0,4.0,Exelen;Exelen;Exelen;Exelen;
Pretty Rhythm: Rainbow Live,17249.0,TV,spring,2013.0,,9.5,16.0,Apey_;Apey_;Apey_;Apey_;Nodamin;Nodamin;Nodamin;Nodamin;Apey_;Apey_;Apey_;Apey_;Nodamin;Nodamin;Nodamin;Nodamin;
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,2449.0,Special,summer,2005.0,,9.5,4.0,Aeden;Araya;Aeden;Araya;
Ginga Eiyuu Densetsu,820.0,OVA,spring,1991.0,,9.4,80.0,Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Araya;Araya;Araya;Araya;Araya;Araya;Araya;Araya;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;Araya;Araya;Araya;Araya;Araya;Araya;Araya;Araya;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,30845.0,Movie,summer,2015.0,8,9.333333333333334,6.0,Apey_;Hakey;Nodamin;Apey_;Hakey;Nodamin;
Mushishi Zoku Shou 2nd Season,24701.0,TV,fall,2014.0,,9.25,24.0,Aeden;DrNock;Apey_;NooBenjy;Noctis_Solaith;RdNetwork;crazy-gump;Coincoin_DuK;NosferalTroll;Nodamin;Tinky;Fskng;Aeden;DrNock;Apey_;NooBenjy;Noctis_Solaith;RdNetwork;crazy-gump;Coincoin_DuK;NosferalTroll;Nodamin;Tinky;Fskng;
Cowboy Bebop,1.0,TV,spring,1998.0,10,9.11111111111111,216.0,ange_bleu;ange_bleu;ange_bleu;ange_bleu;Aeden;Aeden;Aeden;Aeden;DrNock;DrNock;DrNock;DrNock;Apey_;Apey_;Apey_;Apey_;Kmeuh;Kmeuh;Kmeuh;Kmeuh;Exelen;Exelen;Exelen;Exelen;NooBenjy;NooBenjy;NooBenjy;NooBenjy;Kabu;Kabu;Kabu;Kabu;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;PiscesAmo;PiscesAmo;RdNetwork;RdNetwork;RdNetwork;RdNetwork;Quakerultra;Quakerultra;Quakerultra;Quakerultra;Araya;Araya;Araya;Araya;kohaque;kohaque;kohaque;kohaque;shanoliu;shanoliu;shanoliu;shanoliu;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;NosferalTroll;NosferalTroll;NosferalTroll;NosferalTroll;Nefka;Nefka;Nefka;Nefka;Aeryst;Aeryst;Aeryst;Aeryst;Tinky;Tinky;Tinky;Tinky;Fskng;Fskng;Fskng;Fskng;CafardVert;CafardVert;CafardVert;CafardVert;DarkAdoniis;DarkAdoniis;DarkAdoniis;DarkAdoniis;ange_bleu;ange_bleu;ange_bleu;ange_bleu;Aeden;Aeden;Aeden;Aeden;DrNock;DrNock;DrNock;DrNock;Apey_;Apey_;Apey_;Apey_;Kmeuh;Kmeuh;Kmeuh;Kmeuh;Exelen;Exelen;Exelen;Exelen;NooBenjy;NooBenjy;NooBenjy;NooBenjy;Kabu;Kabu;Kabu;Kabu;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;PiscesAmo;PiscesAmo;RdNetwork;RdNetwork;RdNetwork;RdNetwork;Quakerultra;Quakerultra;Quakerultra;Quakerultra;Araya;Araya;Araya;Araya;kohaque;kohaque;kohaque;kohaque;shanoliu;shanoliu;shanoliu;shanoliu;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;NosferalTroll;NosferalTroll;NosferalTroll;NosferalTroll;Nefka;Nefka;Nefka;Nefka;Aeryst;Aeryst;Aeryst;Aeryst;Tinky;Tinky;Tinky;Tinky;Fskng;Fskng;Fskng;Fskng;CafardVert;CafardVert;CafardVert;CafardVert;DarkAdoniis;DarkAdoniis;DarkAdoniis;DarkAdoniis;Psoushi;Psoushi;Psoushi;Psoushi;MKG39;MKG39;MKG39;MKG39;
Aria the Origination,3297.0,TV,winter,2008.0,,9.090909090909092,22.0,ange_bleu;DrNock;Apey_;NooBenjy;Noctis_Solaith;Keisuka_Watsushi;PiscesAmo;kohaque;Nodamin;Aeryst;Tinky;ange_bleu;DrNock;Apey_;NooBenjy;Noctis_Solaith;Keisuka_Watsushi;PiscesAmo;kohaque;Nodamin;Aeryst;Tinky;
Tot Musica,52846.0,Music,summer,2022.0,,9.0,2.0,Apey_;Apey_;
Hachimitsu to Clover II,1142.0,TV,summer,2006.0,,9.0,18.0,DrNock;NooBenjy;Kabu;Noctis_Solaith;Ouaf;kohaque;crazy-gump;sylfer;Tinky;DrNock;NooBenjy;Kabu;Noctis_Solaith;Ouaf;kohaque;crazy-gump;sylfer;Tinky;
Kidou Senshi Gundam: Uchuu Seiki Yowa,5723.0,Special,fall,1996.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Utakata Lullaby,52872.0,Music,summer,2022.0,,9.0,2.0,Apey_;Apey_;
Luo Xiao Hei Zhan Ji (Movie),40211.0,Movie,summer,2019.0,,9.0,2.0,Luttii;Luttii;
Enbo,2372.0,OVA,fall,2003.0,,9.0,4.0,Araya;Nefka;Araya;Nefka;
The Cockpit,2500.0,OVA,fall,1993.0,,9.0,2.0,CafardVert;CafardVert;
Sekai no Tsuzuki,52873.0,Music,summer,2022.0,,9.0,2.0,Apey_;Apey_;
Aikatsu! Movie,22819.0,Movie,fall,2014.0,10,9.0,10.0,DrNock;Apey_;Luttii;Hakey;Nodamin;DrNock;Apey_;Luttii;Hakey;Nodamin;
Kaze no Yukue,52893.0,Music,summer,2022.0,,9.0,2.0,Apey_;Apey_;
Kidou Senshi Gundam 00 Special Edition,7270.0,OVA,fall,2009.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Gyakkou,52847.0,Music,summer,2022.0,,9.0,2.0,Apey_;Apey_;
Shin Jidai,52832.0,Music,spring,2022.0,,9.0,2.0,Apey_;Apey_;
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,9130.0,OVA,winter,2011.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Dragon Pink,1331.0,OVA,summer,1994.0,,9.0,2.0,Mereck;Mereck;
Suzumiya Haruhi no Shoushitsu,7311.0,Movie,winter,2010.0,9,9.0,56.0,ange_bleu;Aeden;DrNock;Apey_;Kmeuh;Exelen;NooBenjy;Kabu;Luttii;Noctis_Solaith;PiscesAmo;Ouaf;malcmojo;Suryan;Trit;Quakerultra;kohaque;Coincoin_DuK;sylfer;Nodamin;Nefka;Aeryst;Tinky;Ramou;Mereck;ange_bleu;Aeden;DrNock;Apey_;Kmeuh;Exelen;NooBenjy;Kabu;Luttii;Noctis_Solaith;PiscesAmo;Ouaf;malcmojo;Suryan;Trit;Quakerultra;kohaque;Coincoin_DuK;sylfer;Nodamin;Nefka;Aeryst;Tinky;Ramou;Mereck;DarkAdoniis;nalatskm;AudreyAzura;DL21;Lord_Xian;MKG39;
Future GPX Cyber Formula Saga,1394.0,OVA,summer,1996.0,,9.0,2.0,Fskng;Fskng;
Mirai Koushi Harima SACLA,21471.0,ONA,fall,2013.0,,9.0,2.0,Aeden;Aeden;
Mushishi Zoku Shou,21939.0,TV,spring,2014.0,,9.0,26.0,Aeden;DrNock;Apey_;NooBenjy;Kabu;Noctis_Solaith;RdNetwork;crazy-gump;Coincoin_DuK;NosferalTroll;Nodamin;Tinky;Fskng;Aeden;DrNock;Apey_;NooBenjy;Kabu;Noctis_Solaith;RdNetwork;crazy-gump;Coincoin_DuK;NosferalTroll;Nodamin;Tinky;Fskng;
Kodomo no Omocha (TV),1486.0,TV,spring,1996.0,,9.0,32.0,Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;
Oniisama e...,795.0,TV,summer,1991.0,,9.0,8.0,Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;Exelen;
Quanzhi Fashi,34300.0,ONA,summer,2016.0,,9.0,2.0,sylfer;sylfer;
IDOLiSH7 Third Beat!,45577.0,TV,summer,2021.0,,9.0,2.0,Hakey;Hakey;
IDOLiSH7 Second Beat!,37962.0,TV,spring,2020.0,,9.0,6.0,Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;
IDOLiSH7,33899.0,TV,winter,2018.0,,9.0,4.0,Hakey;Hakey;Hakey;Hakey;
Soukan Yuugi 2,6891.0,OVA,summer,2009.0,,9.0,2.0,Nefka;Nefka;
Super GALS! Kotobuki Ran,1728.0,TV,spring,2001.0,,9.0,8.0,Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;Tinky;
Hachimitsu to Clover Specials,644.0,Special,fall,2005.0,,9.0,8.0,NooBenjy;Kabu;kohaque;Tinky;NooBenjy;Kabu;kohaque;Tinky;
Puparia,44059.0,ONA,fall,2020.0,,9.0,2.0,Kmeuh;Kmeuh;
Future GPX Cyber Formula,1391.0,TV,spring,1991.0,,9.0,6.0,Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;
Future GPX Cyber Formula 11,1392.0,OVA,fall,1992.0,,9.0,2.0,Fskng;Fskng;
Kateikyoushi no Oneesan 2 The Animation: H no Hensachi Agechaimasu,9311.0,OVA,fall,2010.0,,9.0,2.0,shanoliu;shanoliu;
Future GPX Cyber Formula Sin,1395.0,OVA,fall,1998.0,,9.0,2.0,Fskng;Fskng;
Mushishi Zoku Shou: Odoro no Michi,24687.0,Special,summer,2014.0,,9.0,16.0,Aeden;DrNock;Apey_;NooBenjy;Kabu;RdNetwork;Nodamin;Fskng;Aeden;DrNock;Apey_;NooBenjy;Kabu;RdNetwork;Nodamin;Fskng;
Yarima Queen,1558.0,OVA,spring,2000.0,,9.0,2.0,Mereck;Mereck;
Major S5,5028.0,TV,winter,2009.0,,9.0,4.0,Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;
Twin Angel Break,33532.0,TV,spring,2017.0,6,9.0,2.0,Mereck;Mereck;
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,46420.0,Movie,summer,2021.0,,9.0,2.0,ange_bleu;ange_bleu;
Aria the Crepuscolo,41674.0,Movie,winter,2021.0,,9.0,2.0,Apey_;Apey_;
Shoujo☆Kageki Revue Starlight Movie,40664.0,Movie,spring,2021.0,9,9.0,10.0,DrNock;Apey_;Mathxxl;Luttii;PiscesAmo;DrNock;Apey_;Mathxxl;Luttii;PiscesAmo;
Kingdom 3rd Season,40682.0,TV,spring,2020.0,,9.0,12.0,Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;
Gintama: The Final,39486.0,Movie,winter,2021.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Gintama: The Semi-Final,44087.0,Special,winter,2021.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Uchuu Senkan Tiramisù Specials,37866.0,Special,spring,2018.0,,9.0,2.0,Mereck;Mereck;
Boku no Hero Academia 6th Season,49918.0,TV,fall,2022.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Ultra Maniac,178.0,TV,spring,2003.0,,9.0,6.0,kohaque;kohaque;kohaque;kohaque;kohaque;kohaque;
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,37491.0,TV,summer,2018.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Ultra Maniac OVA,179.0,OVA,summer,2002.0,,9.0,2.0,kohaque;kohaque;
The Rapeman,4714.0,OVA,fall,1994.0,,9.0,8.0,kohaque;Hakey;Aeryst;Mereck;kohaque;Hakey;Aeryst;Mereck;
Fate/stay night Movie: Heavens Feel - III. Spring Song,33050.0,Movie,summer,2020.0,9,9.0,22.0,ange_bleu;Apey_;Mathxxl;Noctis_Solaith;PiscesAmo;Ouaf;Suryan;Quakerultra;kohaque;shanoliu;Ramou;ange_bleu;Apey_;Mathxxl;Noctis_Solaith;PiscesAmo;Ouaf;Suryan;Quakerultra;kohaque;shanoliu;Ramou;
Ame wo Tsugeru Hyouryuu Danchi,49938.0,Movie,summer,2022.0,,9.0,2.0,PiscesAmo;PiscesAmo;
Bleach: Sennen Kessen-hen,41467.0,TV,fall,2022.0,,9.0,2.0,PiscesAmo;PiscesAmo;
Promare: Galo-hen,39991.0,ONA,spring,2019.0,,9.0,2.0,Quakerultra;Quakerultra;
Promare: Lio-hen,40313.0,ONA,spring,2019.0,,9.0,2.0,Quakerultra;Quakerultra;
Dounika Naru Hibi,40747.0,Movie,fall,2020.0,6,9.0,2.0,kohaque;kohaque;
Mushishi Zoku Shou: Suzu no Shizuku,28957.0,Movie,spring,2015.0,,9.0,14.0,DrNock;Apey_;NooBenjy;Noctis_Solaith;RdNetwork;Coincoin_DuK;Fskng;DrNock;Apey_;NooBenjy;Noctis_Solaith;RdNetwork;Coincoin_DuK;Fskng;
Gintama.: Porori-hen,35843.0,TV,fall,2017.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Kingdom 2nd Season,17389.0,TV,summer,2013.0,,9.0,12.0,Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;sylfer;sylfer;sylfer;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;sylfer;sylfer;sylfer;
Seikai no Senki II,397.0,TV,summer,2001.0,,9.0,4.0,shanoliu;Ramou;shanoliu;Ramou;
Kuroshitsuji: Book of Murder,23317.0,OVA,winter,2015.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Gintama.: Shirogane no Tamashii-hen,36838.0,TV,winter,2018.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Seikai no Senki,396.0,TV,spring,2000.0,,9.0,4.0,shanoliu;Ramou;shanoliu;Ramou;
Gintama°: Aizome Kaori-hen,32366.0,OVA,summer,2016.0,,9.0,4.0,Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;
Gintama.,34096.0,TV,winter,2017.0,,9.0,2.0,Noctis_Solaith;Noctis_Solaith;
Kaguya-hime no Monogatari,16664.0,Movie,fall,2013.0,9,8.96,25.0,DrNock;Apey_;Kmeuh;NooBenjy;Kabu;Noctis_Solaith;PiscesAmo;Trit;Quakerultra;crazy-gump;Nodamin;Tinky;DrNock;Apey_;Kmeuh;NooBenjy;Kabu;Noctis_Solaith;PiscesAmo;Trit;Quakerultra;crazy-gump;Nodamin;Tinky;DarkAdoniis;
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,4565.0,Movie,spring,2009.0,10,8.947368421052632,38.0,Aeden;DrNock;Apey_;Kmeuh;Exelen;Kabu;Noctis_Solaith;Keisuka_Watsushi;PiscesAmo;Quakerultra;Araya;OoCaradryanoO;Coincoin_DuK;Aeryst;Tinky;Fskng;Ramou;Aeden;DrNock;Apey_;Kmeuh;Exelen;Kabu;Noctis_Solaith;Keisuka_Watsushi;PiscesAmo;Quakerultra;Araya;OoCaradryanoO;Coincoin_DuK;Aeryst;Tinky;Fskng;Ramou;nalatskm;Lord_Xian;MKG39;Baka-saru;
Fullmetal Alchemist: Brotherhood,5114.0,TV,spring,2009.0,,8.92,250.0,Apey_;Apey_;Apey_;Apey_;Apey_;Kmeuh;Kmeuh;Kmeuh;Kmeuh;Kmeuh;Exelen;Exelen;Exelen;Exelen;Exelen;NooBenjy;NooBenjy;NooBenjy;NooBenjy;NooBenjy;Kabu;Kabu;Kabu;Kabu;Kabu;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;PiscesAmo;PiscesAmo;PiscesAmo;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;Suryan;Suryan;Suryan;Suryan;Suryan;Araya;Araya;Araya;Araya;Araya;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;crazy-gump;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;sylfer;sylfer;sylfer;sylfer;sylfer;NosferalTroll;NosferalTroll;NosferalTroll;NosferalTroll;NosferalTroll;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Tinky;Tinky;Tinky;Tinky;Tinky;Fskng;Fskng;Fskng;Fskng;Fskng;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;Ramou;Ramou;Ramou;Ramou;Ramou;Apey_;Apey_;Apey_;Apey_;Apey_;Kmeuh;Kmeuh;Kmeuh;Kmeuh;Kmeuh;Exelen;Exelen;Exelen;Exelen;Exelen;NooBenjy;NooBenjy;NooBenjy;NooBenjy;NooBenjy;Kabu;Kabu;Kabu;Kabu;Kabu;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;PiscesAmo;PiscesAmo;PiscesAmo;Ouaf;Ouaf;Ouaf;Ouaf;Ouaf;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;Suryan;Suryan;Suryan;Suryan;Suryan;Araya;Araya;Araya;Araya;Araya;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;crazy-gump;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;sylfer;sylfer;sylfer;sylfer;sylfer;NosferalTroll;NosferalTroll;NosferalTroll;NosferalTroll;NosferalTroll;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Tinky;Tinky;Tinky;Tinky;Tinky;Fskng;Fskng;Fskng;Fskng;Fskng;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;Ramou;Ramou;Ramou;Ramou;Ramou;Laurence;Laurence;Laurence;Laurence;Laurence;Psoushi;Psoushi;Psoushi;Psoushi;Psoushi;DL21;DL21;DL21;DL21;DL21;Genrazia;Genrazia;Genrazia;Genrazia;Genrazia;Lord_Xian;Lord_Xian;Lord_Xian;Lord_Xian;Lord_Xian;Baka-saru;Baka-saru;Baka-saru;Baka-saru;Baka-saru;
Fate/stay night Movie: Heavens Feel - II. Lost Butterfly,33049.0,Movie,winter,2019.0,9,8.909090909090908,22.0,ange_bleu;Apey_;Mathxxl;Noctis_Solaith;PiscesAmo;Ouaf;Suryan;Quakerultra;kohaque;shanoliu;Nodamin;ange_bleu;Apey_;Mathxxl;Noctis_Solaith;PiscesAmo;Ouaf;Suryan;Quakerultra;kohaque;shanoliu;Nodamin;
Mononoke Hime,164.0,Movie,summer,1997.0,9,8.901639344262295,61.0,ange_bleu;Aeden;DrNock;Apey_;Kmeuh;Exelen;NooBenjy;Kabu;Mathxxl;Noctis_Solaith;Keisuka_Watsushi;PiscesAmo;Suryan;Trit;Quakerultra;Araya;kohaque;shanoliu;OoCaradryanoO;crazy-gump;Coincoin_DuK;NosferalTroll;Nodamin;Nefka;Aeryst;Tinky;Fskng;CafardVert;Ramou;ange_bleu;Aeden;DrNock;Apey_;Kmeuh;Exelen;NooBenjy;Kabu;Mathxxl;Noctis_Solaith;Keisuka_Watsushi;PiscesAmo;Suryan;Trit;Quakerultra;Araya;kohaque;shanoliu;OoCaradryanoO;crazy-gump;Coincoin_DuK;NosferalTroll;Nodamin;Nefka;Aeryst;Tinky;Fskng;CafardVert;Ramou;nalatskm;Laurence;AudreyAzura;
Mushishi,457.0,TV,fall,2005.0,,8.885714285714286,105.0,Aeden;Aeden;Aeden;DrNock;DrNock;DrNock;Apey_;Apey_;Apey_;NooBenjy;NooBenjy;NooBenjy;Kabu;Kabu;Kabu;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;RdNetwork;RdNetwork;RdNetwork;shanoliu;shanoliu;shanoliu;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;NosferalTroll;NosferalTroll;NosferalTroll;Nodamin;Nodamin;Nodamin;Tinky;Tinky;Tinky;Fskng;Fskng;Fskng;Aeden;Aeden;Aeden;DrNock;DrNock;DrNock;Apey_;Apey_;Apey_;NooBenjy;NooBenjy;NooBenjy;Kabu;Kabu;Kabu;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;Keisuka_Watsushi;RdNetwork;RdNetwork;RdNetwork;shanoliu;shanoliu;shanoliu;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;Coincoin_DuK;NosferalTroll;NosferalTroll;NosferalTroll;Nodamin;Nodamin;Nodamin;Tinky;Tinky;Tinky;Fskng;Fskng;Fskng;Laurence;Laurence;Laurence;Psoushi;Psoushi;Psoushi;DL21;DL21;DL21;
Kimi no Na wa.,32281.0,Movie,summer,2016.0,7,8.885245901639344,61.0,ange_bleu;Aeden;DrNock;Apey_;Kmeuh;NooBenjy;Kabu;Mathxxl;Luttii;Noctis_Solaith;Keisuka_Watsushi;PiscesAmo;Ouaf;RdNetwork;Suryan;Quakerultra;yattoz;Araya;kohaque;shanoliu;Hakey;OoCaradryanoO;crazy-gump;NosferalTroll;Nodamin;Nefka;Aeryst;Tinky;Fskng;Ramou;ange_bleu;Aeden;DrNock;Apey_;Kmeuh;NooBenjy;Kabu;Mathxxl;Luttii;Noctis_Solaith;Keisuka_Watsushi;PiscesAmo;Ouaf;RdNetwork;Suryan;Quakerultra;yattoz;Araya;kohaque;shanoliu;Hakey;OoCaradryanoO;crazy-gump;NosferalTroll;Nodamin;Nefka;Aeryst;Tinky;Fskng;Ramou;Psoushi;
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,40591.0,TV,spring,2020.0,9,8.875,32.0,ange_bleu;DrNock;Apey_;Kmeuh;Mathxxl;Luttii;Noctis_Solaith;PiscesAmo;Ouaf;Suryan;Quakerultra;kohaque;crazy-gump;NosferalTroll;Ramou;Mereck;ange_bleu;DrNock;Apey_;Kmeuh;Mathxxl;Luttii;Noctis_Solaith;PiscesAmo;Ouaf;Suryan;Quakerultra;kohaque;crazy-gump;NosferalTroll;Ramou;Mereck;
Tengen Toppa Gurren Lagann,2001.0,TV,spring,2007.0,9,8.844155844155845,154.0,ange_bleu;ange_bleu;Aeden;Aeden;DrNock;DrNock;Apey_;Apey_;Kmeuh;Kmeuh;Exelen;Exelen;NooBenjy;NooBenjy;Kabu;Kabu;Luttii;Luttii;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;Ouaf;Ouaf;RdNetwork;RdNetwork;malcmojo;malcmojo;Suryan;Suryan;Trit;Trit;Quakerultra;Quakerultra;yattoz;yattoz;Araya;Araya;shanoliu;shanoliu;Hakey;Hakey;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;NosferalTroll;NosferalTroll;Nodamin;Nodamin;Nefka;Nefka;Aeryst;Aeryst;Tinky;Tinky;Fskng;Fskng;CafardVert;CafardVert;Ramou;Ramou;Mereck;Mereck;ange_bleu;ange_bleu;Aeden;Aeden;DrNock;DrNock;Apey_;Apey_;Kmeuh;Kmeuh;Exelen;Exelen;NooBenjy;NooBenjy;Kabu;Kabu;Luttii;Luttii;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;Ouaf;Ouaf;RdNetwork;RdNetwork;malcmojo;malcmojo;Suryan;Suryan;Trit;Trit;Quakerultra;Quakerultra;yattoz;yattoz;Araya;Araya;shanoliu;shanoliu;Hakey;Hakey;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;NosferalTroll;NosferalTroll;Nodamin;Nodamin;Nefka;Nefka;Aeryst;Aeryst;Tinky;Tinky;Fskng;Fskng;CafardVert;CafardVert;Ramou;Ramou;Mereck;Mereck;DarkAdoniis;DarkAdoniis;nalatskm;nalatskm;Laurence;Laurence;Psoushi;Psoushi;AudreyAzura;AudreyAzura;Genrazia;Genrazia;Lord_Xian;Lord_Xian;MKG39;MKG39;Baka-saru;Baka-saru;
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),5205.0,Movie,summer,2009.0,9,8.842105263157896,38.0,ange_bleu;Apey_;Kmeuh;NooBenjy;Noctis_Solaith;Keisuka_Watsushi;Ouaf;malcmojo;Quakerultra;Araya;shanoliu;OoCaradryanoO;Coincoin_DuK;NosferalTroll;Nodamin;Tinky;Fskng;Ramou;ange_bleu;Apey_;Kmeuh;NooBenjy;Noctis_Solaith;Keisuka_Watsushi;Ouaf;malcmojo;Quakerultra;Araya;shanoliu;OoCaradryanoO;Coincoin_DuK;NosferalTroll;Nodamin;Tinky;Fskng;Ramou;Lord_Xian;MKG39;
