title,MAL_id,type,release-season,release-year,yokanime score,friends_mean_score,nb_who_watched_it,friend_who_watched_it
Toaru Majutsu no Index II,8937.0,TV,fall,2010.0,,6.405405405405405,74.0,Aeden;Aeden;DrNock;DrNock;Apey_;Apey_;NooBenjy;NooBenjy;Mathxxl;Mathxxl;Luttii;Luttii;Keisuka_Watsushi;Keisuka_Watsushi;malcmojo;malcmojo;Trit;Trit;shanoliu;shanoliu;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;sylfer;sylfer;Nodamin;Nodamin;Aeryst;Aeryst;Tinky;Tinky;Fskng;Fskng;Mereck;Mereck;Aeden;Aeden;DrNock;DrNock;Apey_;Apey_;NooBenjy;NooBenjy;Mathxxl;Mathxxl;Luttii;Luttii;Keisuka_Watsushi;Keisuka_Watsushi;malcmojo;malcmojo;Trit;Trit;shanoliu;shanoliu;crazy-gump;crazy-gump;Coincoin_DuK;Coincoin_DuK;sylfer;sylfer;Nodamin;Nodamin;Aeryst;Aeryst;Tinky;Tinky;Fskng;Fskng;Mereck;Mereck;MKG39;MKG39;
Fate/kaleid liner Prisma☆Illya 2wei!,20509.0,TV,summer,2014.0,7,6.4,25.0,ange_bleu;DrNock;Apey_;Mathxxl;Luttii;Noctis_Solaith;Araya;kohaque;crazy-gump;Nodamin;Tinky;Mereck;ange_bleu;DrNock;Apey_;Mathxxl;Luttii;Noctis_Solaith;Araya;kohaque;crazy-gump;Nodamin;Tinky;Mereck;AudreyAzura;
Sankarea OVA,13055.0,OVA,spring,2012.0,,6.4,40.0,Aeden;Aeden;DrNock;DrNock;Apey_;Apey_;NooBenjy;NooBenjy;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;Trit;Trit;kohaque;kohaque;shanoliu;shanoliu;Nodamin;Nodamin;Aeden;Aeden;DrNock;DrNock;Apey_;Apey_;NooBenjy;NooBenjy;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;Trit;Trit;kohaque;kohaque;shanoliu;shanoliu;Nodamin;Nodamin;
Majo no Tabitabi,40571.0,TV,fall,2020.0,5,6.4,10.0,ange_bleu;DrNock;Noctis_Solaith;Keisuka_Watsushi;crazy-gump;ange_bleu;DrNock;Noctis_Solaith;Keisuka_Watsushi;crazy-gump;
Eyeshield 21,15.0,TV,spring,2005.0,6,6.4,240.0,ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;ange_bleu;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;RdNetwork;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;shanoliu;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;Hakey;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Aeryst;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;Fskng;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;CafardVert;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;Ramou;
Animation Seisaku Shinkou Kuromi-chan 2,1798.0,OVA,winter,2004.0,,6.4,5.0,DrNock;kohaque;DrNock;kohaque;Baka-saru;
Psycho-Pass: Sinners of the System Case.1 - Tsumi to Batsu,37440.0,Movie,winter,2019.0,,6.4,10.0,DrNock;Apey_;Mathxxl;Noctis_Solaith;Nodamin;DrNock;Apey_;Mathxxl;Noctis_Solaith;Nodamin;
Kuromukuro,32245.0,TV,spring,2016.0,,6.4,20.0,DrNock;DrNock;Exelen;Exelen;NooBenjy;NooBenjy;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;DrNock;DrNock;Exelen;Exelen;NooBenjy;NooBenjy;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;
30th Gundam Perfect Mission,7113.0,OVA,summer,2009.0,,6.4,10.0,ange_bleu;Noctis_Solaith;Keisuka_Watsushi;Quakerultra;Araya;ange_bleu;Noctis_Solaith;Keisuka_Watsushi;Quakerultra;Araya;
Toradora!: Bentou no Gokui,11553.0,Special,fall,2011.0,,6.4,15.0,DrNock;Apey_;PiscesAmo;malcmojo;Trit;kohaque;Aeryst;DrNock;Apey_;PiscesAmo;malcmojo;Trit;kohaque;Aeryst;MKG39;
