,title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes
4010,Chocchan Monogatari,4201,Movie,          -,winter,1996.0,1996-03-20 00:00:00,-,1.0
4011,Pipi Tobenai Hotaru,19909,Movie,Mushi Production,winter,1996.0,1996-03-23 00:00:00,Novel,1.0
4012,City Hunter: The Secret Service,1477,Special,Sunrise,winter,1996.0,1996-01-05 00:00:00,Manga,1.0
4013,Tenkuu no Escaflowne,182,TV (New),Sunrise,spring,1996.0,1996-04-02 18:00:00,Original,26.0
4014,Bishoujo Senshi Sailor Moon: Sailor Stars,996,TV (New),Toei Animation,spring,1996.0,1996-03-09 00:00:00,Manga,34.0
4015,Slayers Next,535,TV (New),E&G Films,spring,1996.0,1996-04-05 18:30:00,Light novel,26.0
4016,Kodomo no Omocha (TV),1486,TV (New),Gallop,spring,1996.0,1996-04-05 18:00:00,Manga,102.0
4017,After War Gundam X,92,TV (New),Sunrise,spring,1996.0,1996-04-05 17:00:00,Original,39.0
4018,Jigoku Sensei Nube,2012,TV (New),Toei Animation,spring,1996.0,1996-04-13 19:00:00,Manga,49.0
4019,B'T X,286,TV (New),TMS Entertainment,spring,1996.0,1996-04-06 17:30:00,Manga,25.0
4020,Kaiketsu Zorro,3010,TV (New),Ashi Production,spring,1996.0,1996-04-05 18:30:00,Other,52.0
4021,Mizuiro Jidai,1040,TV (New),Nippon Animation,spring,1996.0,1996-04-04 00:00:00,Manga,47.0
4022,VS Knight Lamune & 40 Fire,2087,TV (New),Production Reed,spring,1996.0,1996-04-03 18:30:00,Original,26.0
4023,Midori no Makibao,3550,TV (New),Studio Pierrot,spring,1996.0,1996-03-09 06:30:00,Manga,61.0
4024,Hajime Ningen Gon,8764,TV (New),Studio Pierrot,spring,1996.0,1996-04-03 18:00:00,Manga,39.0
4025,Shounen Santa no Daibouken!,7639,TV (New),Studio Deen,spring,1996.0,1996-04-06 17:00:00,Novel,24.0
4026,Ijiwaru Baasan (1996),20081,TV (New),Eiken,spring,1996.0,1996-03-19 17:30:00,-,46.0
4027,Dragon Ball GT,225,TV (Continuing),Toei Animation,spring,1996.0,1996-02-07 19:00:00,Manga,64.0
4028,Rurouni Kenshin: Meiji Kenkaku Romantan,45,TV (Continuing),"Gallop, Studio Deen",spring,1996.0,1996-01-10 19:30:00,Manga,94.0
4029,Detective Conan,235,TV (Continuing),TMS Entertainment,spring,1996.0,1996-01-08 18:00:00,Manga,0.0
4030,Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,spring,1996.0,1992-04-13 19:30:00,Manga,0.0
4031,Kaitou Saint Tail,1567,TV (Continuing),TMS Entertainment,spring,1996.0,1995-10-12 19:30:00,Manga,43.0
4032,Gokinjo Monogatari,852,TV (Continuing),Toei Animation,spring,1996.0,1995-09-10 00:00:00,Manga,50.0
4033,Bakusou Kyoudai Let's & Go,2705,TV (Continuing),"Production I.G, Xebec",spring,1996.0,1996-01-08 18:00:00,Manga,51.0
4034,Virtua Fighter,961,TV (Continuing),Tokyo Movie Shinsha,spring,1996.0,1995-10-09 18:30:00,Game,35.0
4035,Sazae-san,2406,TV (Continuing),Eiken,spring,1996.0,1969-10-05 18:30:00,4-koma manga,0.0
4036,Gegege no Kitarou (1996),7619,TV (Continuing),Toei Animation,spring,1996.0,1996-01-07 09:00:00,Manga,114.0
4037,Azuki-chan,1893,TV (Continuing),Madhouse,spring,1996.0,1995-04-04 18:00:00,Manga,117.0
4038,Mojakou,2736,TV (Continuing),OLM,spring,1996.0,1995-10-03 18:30:00,-,74.0
4039,Yuusha Shirei Dagwon,3505,TV (Continuing),Sunrise,spring,1996.0,1996-02-03 17:00:00,Original,48.0
4040,Oyako Club,12393,TV (Continuing),Eiken,spring,1996.0,1994-10-03 00:00:00,Original,1818.0
4041,Bucket de Gohan,9540,TV (Continuing),          -,spring,1996.0,1996-01-08 19:00:00,-,20.0
4042,Narara Superboard,32136,TV (Continuing),          -,spring,1996.0,1990-08-21 00:00:00,Manga,54.0
4043,Gunsmith Cats,650,OVA,OLM,spring,1996.0,1995-11-01 00:00:00,Manga,3.0
4044,3x3 Eyes: Seima Densetsu,1225,OVA,Studio Junio,spring,1996.0,1995-07-25 00:00:00,Manga,3.0
4045,Fire Emblem,2782,OVA,Studio Fantasia,spring,1996.0,1996-01-26 00:00:00,Game,2.0
4046,Shamanic Princess,1182,OVA,Triangle Staff,spring,1996.0,1996-06-25 00:00:00,Original,6.0
4047,Mobile Suit Gundam Wing: Operation Meteor,3626,OVA,Sunrise,spring,1996.0,1996-04-25 00:00:00,Original,4.0
4048,Burn Up! W,769,OVA,AIC,spring,1996.0,1996-04-10 00:00:00,Original,4.0
4049,Mahoutsukai Tai!,629,OVA,Production Reed,spring,1996.0,1996-05-25 00:00:00,Original,6.0
4050,Aozora Shoujo-tai,1233,OVA,Studio Fantasia,spring,1996.0,1994-10-21 00:00:00,Manga,7.0
4051,Toushinden,2462,OVA,J.C.Staff,spring,1996.0,1996-06-21 00:00:00,Game,2.0
4052,Sanctuary,2698,OVA,Pastel,spring,1996.0,1996-05-01 00:00:00,Manga,1.0
4053,Ojousama Sousamou,2057,OVA,"Gainax, Studio 4°C",spring,1996.0,1996-04-01 00:00:00,Original,1.0
4054,Tattoon Master,2102,OVA,AIC,spring,1996.0,1996-04-26 00:00:00,Manga,2.0
4055,Mutant Turtles: Choujin Densetsu-hen,1059,OVA,          -,spring,1996.0,1996-05-21 00:00:00,-,2.0
4056,Blue Seed 1.5,3952,OVA,Production I.G,spring,1996.0,1996-06-21 00:00:00,-,2.0
4057,Landlock,2078,OVA,-,spring,1996.0,1996-06-21 00:00:00,-,2.0
4058,Idol Fight Suchie-Pai 2,3816,OVA,Daume,spring,1996.0,1996-04-20 00:00:00,Game,1.0
4059,Bounty Hunter: The Hard,4522,OVA,J.C.Staff,spring,1996.0,1996-05-01 00:00:00,Manga,1.0
4060,Haou Daikei Ryuu Knight: Adeu Legend Final,1851,OVA,Sunrise,spring,1996.0,1996-05-25 00:00:00,-,1.0
4061,Future GPX Cyber Formula: Early Days Renewal,1396,OVA,Sunrise,spring,1996.0,1996-04-01 00:00:00,-,2.0
4062,Toppuku Kyousou Kyoku,23769,OVA,          -,spring,1996.0,1996-06-28 00:00:00,-,2.0
4063,Hamuko Mairu!,19463,OVA,          -,spring,1996.0,1996-06-29 00:00:00,Manga,1.0
4064,Tenchi Muyou! in Love,1006,Movie,AIC,spring,1996.0,1996-04-20 00:00:00,-,1.0
4065,Armitage III: Poly-Matrix,493,Movie,AIC,spring,1996.0,1996-04-20 00:00:00,Original,1.0
4066,Lupin III: Dead or Alive,1416,Movie,Tokyo Movie Shinsha,spring,1996.0,1996-04-20 00:00:00,Manga,1.0
4067,Crayon Shin-chan Movie 04: Henderland no Daibouken,8359,Movie,          -,spring,1996.0,1996-04-19 00:00:00,Manga,1.0
4068,Hamelin no Violin Hiki: The Movie,2207,Movie,Nippon Animation,spring,1996.0,1996-04-20 00:00:00,Manga,1.0
4069,Mahoujin Guru Guru Movie,796,Movie,Nippon Animation,spring,1996.0,1996-04-20 00:00:00,Manga,1.0
4070,Dragon Quest Retsuden: Roto no Monshou,7491,Movie,          -,spring,1996.0,1996-04-20 00:00:00,Game,1.0
4071,Toilet no Hanako-san,8539,Movie,Studio Pierrot,spring,1996.0,1996-06-29 00:00:00,Other,1.0
4072,Nintama Rantarou Movie,2710,Movie,Ajia-Do,spring,1996.0,1996-06-29 00:00:00,-,1.0
4073,Apo Apo World: Giant Baba 90-bun 1-hon Shoubu,22851,Movie,          -,spring,1996.0,1996-06-15 00:00:00,-,1.0
4074,Akachan to Boku,1485,TV (New),Studio Pierrot,summer,1996.0,1996-07-11 18:00:00,Manga,35.0
4075,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,3545,TV (New),Gallop,summer,1996.0,1996-06-16 19:00:00,Manga,373.0
4076,Ganbarist! Shun,3568,TV (New),Sunrise,summer,1996.0,1996-07-01 19:00:00,Manga,30.0
4077,Dragon Ball GT,225,TV (Continuing),Toei Animation,summer,1996.0,1996-02-07 19:00:00,Manga,64.0
4078,Rurouni Kenshin: Meiji Kenkaku Romantan,45,TV (Continuing),"Gallop, Studio Deen",summer,1996.0,1996-01-10 19:30:00,Manga,94.0
4079,Detective Conan,235,TV (Continuing),TMS Entertainment,summer,1996.0,1996-01-08 18:00:00,Manga,0.0
4080,Tenkuu no Escaflowne,182,TV (Continuing),Sunrise,summer,1996.0,1996-04-02 18:00:00,Original,26.0
4081,Bishoujo Senshi Sailor Moon: Sailor Stars,996,TV (Continuing),Toei Animation,summer,1996.0,1996-03-09 00:00:00,Manga,34.0
4082,Slayers Next,535,TV (Continuing),E&G Films,summer,1996.0,1996-04-05 18:30:00,Light novel,26.0
4083,Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,summer,1996.0,1992-04-13 19:30:00,Manga,0.0
4084,Kodomo no Omocha (TV),1486,TV (Continuing),Gallop,summer,1996.0,1996-04-05 18:00:00,Manga,102.0
4085,After War Gundam X,92,TV (Continuing),Sunrise,summer,1996.0,1996-04-05 17:00:00,Original,39.0
4086,Kaitou Saint Tail,1567,TV (Continuing),TMS Entertainment,summer,1996.0,1995-10-12 19:30:00,Manga,43.0
4087,Jigoku Sensei Nube,2012,TV (Continuing),Toei Animation,summer,1996.0,1996-04-13 19:00:00,Manga,49.0
4088,Gokinjo Monogatari,852,TV (Continuing),Toei Animation,summer,1996.0,1995-09-10 00:00:00,Manga,50.0
4089,B'T X,286,TV (Continuing),TMS Entertainment,summer,1996.0,1996-04-06 17:30:00,Manga,25.0
4090,Kaiketsu Zorro,3010,TV (Continuing),Ashi Production,summer,1996.0,1996-04-05 18:30:00,Other,52.0
4091,Bakusou Kyoudai Let's & Go,2705,TV (Continuing),"Production I.G, Xebec",summer,1996.0,1996-01-08 18:00:00,Manga,51.0
4092,Sazae-san,2406,TV (Continuing),Eiken,summer,1996.0,1969-10-05 18:30:00,4-koma manga,0.0
4093,Mizuiro Jidai,1040,TV (Continuing),Nippon Animation,summer,1996.0,1996-04-04 00:00:00,Manga,47.0
4094,Gegege no Kitarou (1996),7619,TV (Continuing),Toei Animation,summer,1996.0,1996-01-07 09:00:00,Manga,114.0
4095,Azuki-chan,1893,TV (Continuing),Madhouse,summer,1996.0,1995-04-04 18:00:00,Manga,117.0
4096,VS Knight Lamune & 40 Fire,2087,TV (Continuing),Production Reed,summer,1996.0,1996-04-03 18:30:00,Original,26.0
4097,Mojakou,2736,TV (Continuing),OLM,summer,1996.0,1995-10-03 18:30:00,-,74.0
4098,Yuusha Shirei Dagwon,3505,TV (Continuing),Sunrise,summer,1996.0,1996-02-03 17:00:00,Original,48.0
4099,Midori no Makibao,3550,TV (Continuing),Studio Pierrot,summer,1996.0,1996-03-09 06:30:00,Manga,61.0
4100,Oyako Club,12393,TV (Continuing),Eiken,summer,1996.0,1994-10-03 00:00:00,Original,1818.0
4101,Hajime Ningen Gon,8764,TV (Continuing),Studio Pierrot,summer,1996.0,1996-04-03 18:00:00,Manga,39.0
4102,Shounen Santa no Daibouken!,7639,TV (Continuing),Studio Deen,summer,1996.0,1996-04-06 17:00:00,Novel,24.0
4103,Narara Superboard,32136,TV (Continuing),          -,summer,1996.0,1990-08-21 00:00:00,Manga,54.0
4104,Ijiwaru Baasan (1996),20081,TV (Continuing),Eiken,summer,1996.0,1996-03-19 17:30:00,-,46.0
4105,Gunsmith Cats,650,OVA,OLM,summer,1996.0,1995-11-01 00:00:00,Manga,3.0
4106,Tetsuwan Birdy,566,OVA,Madhouse,summer,1996.0,1996-07-25 00:00:00,Manga,4.0
4107,Slayers Special,1170,OVA,J.C.Staff,summer,1996.0,1996-07-25 00:00:00,Light novel,3.0
4108,Byston Well Monogatari: Garzey no Tsubasa,1657,OVA,J.C.Staff,summer,1996.0,1996-09-21 00:00:00,Original,3.0
4109,Aozora Shoujo-tai,1233,OVA,Studio Fantasia,summer,1996.0,1994-10-21 00:00:00,Manga,7.0
4110,Jikuu Bouken Nuumamonjaa,1751,OVA,Production I.G,summer,1996.0,1996-08-01 00:00:00,Game,1.0
4111,Kimera,2592,OVA,animate Film,summer,1996.0,1996-07-31 00:00:00,Manga,1.0
4112,Blue Seed 2,999,OVA,Production I.G,summer,1996.0,1996-07-24 00:00:00,-,3.0
4113,Shadow Skill (1996),679,OVA,Zero-G Room,summer,1996.0,1996-09-21 00:00:00,-,3.0
4114,Choujin Gakuen Gowcaizer: The Voltage Fighters,1560,OVA,J.C.Staff,summer,1996.0,1996-09-27 00:00:00,Game,3.0
4115,Maze☆Bakunetsu Jikuu,1162,OVA,J.C.Staff,summer,1996.0,1996-07-24 00:00:00,Manga,2.0
4116,Future GPX Cyber Formula Saga,1394,OVA,Sunrise,summer,1996.0,1996-08-01 00:00:00,-,8.0
4117,Shin Hurricane Polymar,3398,OVA,"J.C.Staff, Tatsunoko Production",summer,1996.0,1996-09-21 00:00:00,-,2.0
4118,Twin Signal: Family Game,1900,OVA,-,summer,1996.0,1996-09-21 00:00:00,-,3.0
4119,Jigokudou Reikai Tsuushin,9824,OVA,          -,summer,1996.0,1996-08-09 00:00:00,Novel,1.0
4120,Ultraman: Chou Toushi Gekiden - Suisei Senjin Tsuifon Toujou,17621,OVA,          -,summer,1996.0,1996-09-25 00:00:00,Other,1.0
4121,Eiyuu Banka Koushi-den,23615,OVA,          -,summer,1996.0,1996-09-21 00:00:00,-,1.0
4122,Shinran Shounin to Ousha-jou no Higeki,34926,OVA,          -,summer,1996.0,1996-09-06 00:00:00,Other,1.0
4123,X/1999,155,Movie,Madhouse,summer,1996.0,1996-08-03 00:00:00,Manga,1.0
4124,Slayers Return,869,Movie,J.C.Staff,summer,1996.0,1996-08-03 00:00:00,Light novel,1.0
4125,Jigoku Sensei Nube (Movie),8208,Movie,Toei Animation,summer,1996.0,1996-07-06 00:00:00,-,1.0
4126,Alps no Shoujo Heidi: Heidi to Clara-hen,9549,Movie,Nippon Animation,summer,1996.0,1996-08-21 00:00:00,-,1.0
4127,Alps no Shoujo Heidi: Alm no Yama-hen,9548,Movie,Nippon Animation,summer,1996.0,1996-08-21 00:00:00,-,1.0
4128,Gegege no Kitarou: Daikaijuu,8146,Movie,Toei Animation,summer,1996.0,1996-07-06 00:00:00,-,1.0
4129,Futari no Oujisama,23343,Movie,Toei Animation,summer,1996.0,1996-07-12 00:00:00,-,1.0
4130,Maya no Isshou,25301,Movie,          -,summer,1996.0,1996-08-20 00:00:00,-,1.0
4131,Angel ga Tonda Hi,22959,Movie,          -,summer,1996.0,1996-07-27 00:00:00,-,1.0
4132,Lupin III: Twilight Gemini no Himitsu,1436,Special,-,summer,1996.0,1996-08-02 00:00:00,-,1.0
4133,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,27567,Special,Studio Pierrot,summer,1996.0,1996-07-25 00:00:00,Manga,2.0
4134,Yawara!: Zutto Kimi no Koto ga...,2009,Special,Madhouse,summer,1996.0,1996-07-19 00:00:00,Manga,1.0
4135,Hana yori Dango,106,TV (New),Toei Animation,fall,1996.0,1996-09-08 00:00:00,Manga,51.0
4136,Kidou Senkan Nadesico,218,TV (New),Xebec,fall,1996.0,1996-10-01 18:30:00,Original,26.0
4137,Saber Marionette J,573,TV (New),Studio Junio,fall,1996.0,1996-10-01 18:00:00,Original,25.0
4138,Taiho Shichau zo (TV),1372,TV (New),Studio Deen,fall,1996.0,1996-10-05 00:00:00,Manga,47.0
4139,Elf wo Karu Mono-tachi,1045,TV (New),"Amuse, Group TAC",fall,1996.0,1996-10-04 01:15:00,Manga,12.0
4140,Ie Naki Ko Remy,2829,TV (New),Nippon Animation,fall,1996.0,1996-09-01 19:30:00,Novel,23.0
4141,Mahou Shoujo Pretty Sammy (1996),1502,TV (New),AIC,fall,1996.0,1996-10-04 18:30:00,-,26.0
4142,Hamelin no Violin Hiki,1325,TV (New),Studio Deen,fall,1996.0,1996-10-02 00:00:00,Manga,25.0
4143,Chouja Raideen,2127,TV (New),Sunrise,fall,1996.0,1996-10-02 00:00:00,-,38.0
4144,YAT Anshin! Uchuu Ryokou,1891,TV (New),"Group TAC, Xebec",fall,1996.0,1996-10-05 18:00:00,Original,50.0
4145,Kiko-chan Smile,2075,TV (New),"Eiken, Magic Bus",fall,1996.0,1996-10-05 17:00:00,Manga,51.0
4146,Dragon Ball GT,225,TV (Continuing),Toei Animation,fall,1996.0,1996-02-07 19:00:00,Manga,64.0
4147,Rurouni Kenshin: Meiji Kenkaku Romantan,45,TV (Continuing),"Gallop, Studio Deen",fall,1996.0,1996-01-10 19:30:00,Manga,94.0
4148,Detective Conan,235,TV (Continuing),TMS Entertainment,fall,1996.0,1996-01-08 18:00:00,Manga,0.0
4149,Bishoujo Senshi Sailor Moon: Sailor Stars,996,TV (Continuing),Toei Animation,fall,1996.0,1996-03-09 00:00:00,Manga,34.0
4150,Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,fall,1996.0,1992-04-13 19:30:00,Manga,0.0
4151,Kodomo no Omocha (TV),1486,TV (Continuing),Gallop,fall,1996.0,1996-04-05 18:00:00,Manga,102.0
4152,After War Gundam X,92,TV (Continuing),Sunrise,fall,1996.0,1996-04-05 17:00:00,Original,39.0
4153,Akachan to Boku,1485,TV (Continuing),Studio Pierrot,fall,1996.0,1996-07-11 18:00:00,Manga,35.0
4154,Jigoku Sensei Nube,2012,TV (Continuing),Toei Animation,fall,1996.0,1996-04-13 19:00:00,Manga,49.0
4155,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,3545,TV (Continuing),Gallop,fall,1996.0,1996-06-16 19:00:00,Manga,373.0
4156,Kaiketsu Zorro,3010,TV (Continuing),Ashi Production,fall,1996.0,1996-04-05 18:30:00,Other,52.0
4157,Bakusou Kyoudai Let's & Go,2705,TV (Continuing),"Production I.G, Xebec",fall,1996.0,1996-01-08 18:00:00,Manga,51.0
4158,Sazae-san,2406,TV (Continuing),Eiken,fall,1996.0,1969-10-05 18:30:00,4-koma manga,0.0
4159,Mizuiro Jidai,1040,TV (Continuing),Nippon Animation,fall,1996.0,1996-04-04 00:00:00,Manga,47.0
4160,Ganbarist! Shun,3568,TV (Continuing),Sunrise,fall,1996.0,1996-07-01 19:00:00,Manga,30.0
4161,Gegege no Kitarou (1996),7619,TV (Continuing),Toei Animation,fall,1996.0,1996-01-07 09:00:00,Manga,114.0
4162,Azuki-chan,1893,TV (Continuing),Madhouse,fall,1996.0,1995-04-04 18:00:00,Manga,117.0
4163,Mojakou,2736,TV (Continuing),OLM,fall,1996.0,1995-10-03 18:30:00,-,74.0
4164,Yuusha Shirei Dagwon,3505,TV (Continuing),Sunrise,fall,1996.0,1996-02-03 17:00:00,Original,48.0
4165,Midori no Makibao,3550,TV (Continuing),Studio Pierrot,fall,1996.0,1996-03-09 06:30:00,Manga,61.0
4166,Oyako Club,12393,TV (Continuing),Eiken,fall,1996.0,1994-10-03 00:00:00,Original,1818.0
4167,Hajime Ningen Gon,8764,TV (Continuing),Studio Pierrot,fall,1996.0,1996-04-03 18:00:00,Manga,39.0
4168,Narara Superboard,32136,TV (Continuing),          -,fall,1996.0,1990-08-21 00:00:00,Manga,54.0
4169,Ijiwaru Baasan (1996),20081,TV (Continuing),Eiken,fall,1996.0,1996-03-19 17:30:00,-,46.0
4170,Ginga Eiyuu Densetsu,820,OVA,"Artland, Magic Bus",fall,1996.0,1988-01-08 00:00:00,Novel,110.0
4171,Mobile Suit Gundam: The 08th MS Team,81,OVA,Sunrise,fall,1996.0,1996-01-25 00:00:00,Original,12.0
4172,Angel Densetsu,5251,OVA,Toei Animation,fall,1996.0,1996-12-13 00:00:00,Manga,2.0
4173,Fushigi Yuugi OVA,380,OVA,Studio Pierrot,fall,1996.0,1996-10-25 00:00:00,Manga,3.0
4174,Kakugo no Susume,1647,OVA,Ashi Production,fall,1996.0,1996-10-23 00:00:00,Manga,2.0
4175,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,13931,OVA,Toei Animation,fall,1996.0,1996-12-13 00:00:00,-,3.0
4176,Bakuretsu Hunters OVA,808,OVA,"Production Reed, Xebec",fall,1996.0,1996-12-21 00:00:00,Manga,3.0
4177,Ai Tenshi Densetsu Wedding Peach DX,1957,OVA,-,fall,1996.0,1996-12-24 00:00:00,-,4.0
4178,Master Mosquiton,1805,OVA,-,fall,1996.0,1996-11-21 00:00:00,Manga,6.0
4179,Legend of Crystania,1150,OVA,Triangle Staff,fall,1996.0,1996-11-21 00:00:00,-,3.0
4180,Variable Geo,1183,OVA,Chaos Project,fall,1996.0,1996-11-29 00:00:00,Game,3.0
4181,Kotetsu no Daibouken,2527,OVA,-,fall,1996.0,1996-12-13 00:00:00,-,2.0
4182,Panzer Dragoon,2792,OVA,Production I.G,fall,1996.0,1996-10-25 00:00:00,Game,1.0
4183,Ginga Ojousama Densetsu Yuna: Shin'en no Fairy,2474,OVA,J.C.Staff,fall,1996.0,1996-12-21 00:00:00,Visual novel,3.0
4184,Alice in Cyberland,5330,OVA,          -,fall,1996.0,1996-12-21 00:00:00,Game,1.0
4185,Houma Hunter Lime,1284,OVA,Production Reed,fall,1996.0,1996-10-25 00:00:00,Visual novel,3.0
4186,Gall Force: The Revolution,2066,OVA,AIC,fall,1996.0,1996-10-02 00:00:00,Original,4.0
4187,Black Jack the Movie,1521,Movie,Tezuka Productions,fall,1996.0,1996-11-30 00:00:00,Manga,1.0
4188,"Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari",2098,Movie,Studio Pierrot,fall,1996.0,1996-11-02 00:00:00,Manga,1.0
4189,Ihatov Gensou: Kenji no Haru,1206,Movie,Group TAC,fall,1996.0,1996-12-14 00:00:00,Novel,1.0
4190,Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,2077,Movie,Toei Animation,fall,1996.0,1996-12-14 00:00:00,Light novel,1.0
4191,Shounen Sunday CM Gekijou: InuYasha-hen,31133,Special,          -,fall,1996.0,,Manga,2.0
4192,Mobile Suit Gundam: More Information on the Universal Century,5723,Special,Sunrise,fall,1996.0,1996-10-25 00:00:00,Original,10.0
4193,Bakusou Kyoudai Let's & Go Special,9857,Special,"Production I.G, Xebec",fall,1996.0,1996-12-30 00:00:00,Manga,1.0
4194,Yuusha-Ou GaoGaiGar,890,TV (New),Sunrise,winter,1997.0,1997-02-01 17:00:00,Original,49.0
4195,Eat-Man,1704,TV (New),Studio Deen,winter,1997.0,1997-01-09 01:15:00,Manga,12.0
4196,Cutey Honey F,1853,TV (New),Toei Animation,winter,1997.0,1997-02-15 19:00:00,-,39.0
4197,Bakusou Kyoudai Let's & Go WGP,2706,TV (New),Xebec,winter,1997.0,1997-01-06 18:00:00,Manga,51.0
4198,Mach GoGoGo (1997),3571,TV (New),Tatsunoko Production,winter,1997.0,1997-01-09 19:00:00,Manga,34.0
4199,Dragon Ball GT,225,TV (Continuing),Toei Animation,winter,1997.0,1996-02-07 19:00:00,Manga,64.0
4200,Rurouni Kenshin: Meiji Kenkaku Romantan,45,TV (Continuing),"Gallop, Studio Deen",winter,1997.0,1996-01-10 19:30:00,Manga,94.0
4201,Detective Conan,235,TV (Continuing),TMS Entertainment,winter,1997.0,1996-01-08 18:00:00,Manga,0.0
4202,Bishoujo Senshi Sailor Moon: Sailor Stars,996,TV (Continuing),Toei Animation,winter,1997.0,1996-03-09 00:00:00,Manga,34.0
4203,Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,winter,1997.0,1992-04-13 19:30:00,Manga,0.0
4204,Kodomo no Omocha (TV),1486,TV (Continuing),Gallop,winter,1997.0,1996-04-05 18:00:00,Manga,102.0
4205,Hana yori Dango,106,TV (Continuing),Toei Animation,winter,1997.0,1996-09-08 00:00:00,Manga,51.0
4206,Kidou Senkan Nadesico,218,TV (Continuing),Xebec,winter,1997.0,1996-10-01 18:30:00,Original,26.0
4207,Saber Marionette J,573,TV (Continuing),Studio Junio,winter,1997.0,1996-10-01 18:00:00,Original,25.0
4208,Taiho Shichau zo (TV),1372,TV (Continuing),Studio Deen,winter,1997.0,1996-10-05 00:00:00,Manga,47.0
4209,Akachan to Boku,1485,TV (Continuing),Studio Pierrot,winter,1997.0,1996-07-11 18:00:00,Manga,35.0
4210,Ie Naki Ko Remy,2829,TV (Continuing),Nippon Animation,winter,1997.0,1996-09-01 19:30:00,Novel,23.0
4211,Jigoku Sensei Nube,2012,TV (Continuing),Toei Animation,winter,1997.0,1996-04-13 19:00:00,Manga,49.0
4212,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,3545,TV (Continuing),Gallop,winter,1997.0,1996-06-16 19:00:00,Manga,373.0
4213,Kaiketsu Zorro,3010,TV (Continuing),Ashi Production,winter,1997.0,1996-04-05 18:30:00,Other,52.0
4214,Mahou Shoujo Pretty Sammy (1996),1502,TV (Continuing),AIC,winter,1997.0,1996-10-04 18:30:00,-,26.0
4215,Sazae-san,2406,TV (Continuing),Eiken,winter,1997.0,1969-10-05 18:30:00,4-koma manga,0.0
4216,Hamelin no Violin Hiki,1325,TV (Continuing),Studio Deen,winter,1997.0,1996-10-02 00:00:00,Manga,25.0
4217,Mizuiro Jidai,1040,TV (Continuing),Nippon Animation,winter,1997.0,1996-04-04 00:00:00,Manga,47.0
4218,Ganbarist! Shun,3568,TV (Continuing),Sunrise,winter,1997.0,1996-07-01 19:00:00,Manga,30.0
4219,Gegege no Kitarou (1996),7619,TV (Continuing),Toei Animation,winter,1997.0,1996-01-07 09:00:00,Manga,114.0
4220,Azuki-chan,1893,TV (Continuing),Madhouse,winter,1997.0,1995-04-04 18:00:00,Manga,117.0
4221,Mojakou,2736,TV (Continuing),OLM,winter,1997.0,1995-10-03 18:30:00,-,74.0
4222,Chouja Raideen,2127,TV (Continuing),Sunrise,winter,1997.0,1996-10-02 00:00:00,-,38.0
4223,YAT Anshin! Uchuu Ryokou,1891,TV (Continuing),"Group TAC, Xebec",winter,1997.0,1996-10-05 18:00:00,Original,50.0
4224,Midori no Makibao,3550,TV (Continuing),Studio Pierrot,winter,1997.0,1996-03-09 06:30:00,Manga,61.0
4225,Kiko-chan Smile,2075,TV (Continuing),"Eiken, Magic Bus",winter,1997.0,1996-10-05 17:00:00,Manga,51.0
4226,Oyako Club,12393,TV (Continuing),Eiken,winter,1997.0,1994-10-03 00:00:00,Original,1818.0
4227,Narara Superboard,32136,TV (Continuing),          -,winter,1997.0,1990-08-21 00:00:00,Manga,54.0
4228,Ijiwaru Baasan (1996),20081,TV (Continuing),Eiken,winter,1997.0,1996-03-19 17:30:00,-,46.0
4229,Ginga Eiyuu Densetsu,820,OVA,"Artland, Magic Bus",winter,1997.0,1988-01-08 00:00:00,Novel,110.0
4230,Mobile Suit Gundam Wing: Endless Waltz,91,OVA,Sunrise,winter,1997.0,1997-01-25 00:00:00,Original,3.0
4231,Vampire Hunter,1952,OVA,Madhouse,winter,1997.0,1997-03-21 00:00:00,Game,4.0
4232,El Hazard 2: The Magnificent World,118,OVA,AIC,winter,1997.0,1997-03-21 00:00:00,Original,4.0
4233,Jungle de Ikou!,2524,OVA,"Chaos Project, Studio Fantasia",winter,1997.0,1997-03-26 00:00:00,Original,3.0
4234,Ayane-chan High Kick!,2183,OVA,"Nikkatsu, Rikuentai",winter,1997.0,1997-01-21 00:00:00,Original,2.0
4235,Hen,2317,OVA,-,winter,1997.0,1997-03-21 00:00:00,Manga,2.0
4236,Choujuu Densetsu Gestalt,1283,OVA,-,winter,1997.0,1997-01-22 00:00:00,Manga,2.0
4237,Kishin Douji Zenki Gaiden: Anki Kitan,5828,OVA,Studio Deen,winter,1997.0,1997-03-21 00:00:00,-,1.0
4238,Kyokujitsu no Kantai,6230,OVA,J.C.Staff,winter,1997.0,1997-02-21 00:00:00,-,15.0
