,title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes
54,Ashita no Joe,2402,TV (Continuing),Mushi Production,fall,1970.0,1970-04-01 19:00:00,Manga,79.0
55,Tiger Mask,3009,TV (Continuing),Toei Animation,fall,1970.0,1969-10-02 00:00:00,Manga,105.0
56,Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,fall,1970.0,1969-12-07 19:00:00,Manga,104.0
57,Sazae-san,2406,TV (Continuing),Eiken,fall,1970.0,1969-10-05 18:30:00,4-koma manga,0.0
58,Muumin,8234,TV (Continuing),Mushi Production,fall,1970.0,1969-10-05 19:30:00,Book,65.0
59,Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,fall,1970.0,1970-04-07 00:00:00,Original,91.0
60,Kyojin no Hoshi,5834,TV (Continuing),TMS Entertainment,fall,1970.0,1968-03-30 00:00:00,Manga,182.0
61,Akakichi no Eleven,2316,TV (Continuing),          -,fall,1970.0,1970-04-13 00:00:00,-,52.0
62,Manga Jinbutsushi,23001,TV (Continuing),          -,fall,1970.0,1970-08-01 00:00:00,-,365.0
63,Attack No.1: Namida no Sekai Senshuken,9166,Movie,          -,fall,1970.0,1970-12-19 00:00:00,-,1.0
64,Kabatotto,3683,TV (New),Tatsunoko Production,winter,1971.0,1971-01-01 00:00:00,-,300.0
65,Chingou Muchabee,17457,TV (New),          -,winter,1971.0,1971-02-15 00:00:00,-,51.0
66,Ashita no Joe,2402,TV (Continuing),Mushi Production,winter,1971.0,1970-04-01 19:00:00,Manga,79.0
67,Tiger Mask,3009,TV (Continuing),Toei Animation,winter,1971.0,1969-10-02 00:00:00,Manga,105.0
68,Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,winter,1971.0,1969-12-07 19:00:00,Manga,104.0
69,Sazae-san,2406,TV (Continuing),Eiken,winter,1971.0,1969-10-05 18:30:00,4-koma manga,0.0
70,Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,winter,1971.0,1970-04-07 00:00:00,Original,91.0
71,Kyojin no Hoshi,5834,TV (Continuing),TMS Entertainment,winter,1971.0,1968-03-30 00:00:00,Manga,182.0
72,Akakichi no Eleven,2316,TV (Continuing),          -,winter,1971.0,1970-04-13 00:00:00,-,52.0
73,Mahou no Mako-chan,4113,TV (Continuing),Toei Animation,winter,1971.0,1970-11-02 00:00:00,-,48.0
74,Kick no Oni,3870,TV (Continuing),Toei Animation,winter,1971.0,1970-10-02 00:00:00,-,26.0
75,Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,winter,1971.0,1970-10-04 00:00:00,-,104.0
76,Norakuro,23013,TV (Continuing),Eiken,winter,1971.0,1970-10-05 00:00:00,Manga,26.0
77,Otoko Doahou! Koushien,23011,TV (Continuing),          -,winter,1971.0,1970-09-28 00:00:00,-,156.0
