title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes,score,members
Ponsuke no Udekurabe,7527,Movie,          -,winter,1951.0,,Original,1.0,0.0,290.0
Kujira (1952),7528,Movie,          -,fall,1952.0,,Original,1.0,5.27,961.0
Mori no Ongakukai,7529,Movie,          -,winter,1953.0,,Original,1.0,0.0,333.0
Hana to Chou,7530,Movie,          -,fall,1954.0,,Original,1.0,5.27,680.0
Onbu Obake,7531,Movie,          -,fall,1955.0,1955-12-26 00:00:00,Original,1.0,0.0,319.0
Yuureisen,11447,Movie,          -,spring,1956.0,,Book,1.0,5.67,1541.0
Kuroi Kikori to Shiroi Kikori,7532,Movie,          -,summer,1956.0,1956-07-01 00:00:00,Original,1.0,6.08,620.0
Koneko no Rakugaki,6993,Movie,Toei Animation,spring,1957.0,1957-05-13 00:00:00,Original,1.0,5.78,1425.0
Fukusuke,29923,Movie,          -,fall,1957.0,1957-10-29 00:00:00,Original,1.0,5.57,493.0
Yumemi Douji,29812,Movie,          -,spring,1958.0,1958-04-05 00:00:00,Original,1.0,0.0,316.0
Hakujaden,4513,Movie,Toei Animation,fall,1958.0,1958-10-22 00:00:00,Other,1.0,6.14,4200.0
Chuumon no Ooi Ryouriten,7621,Movie,          -,fall,1958.0,,Book,1.0,5.64,899.0
Hyoutan Suzume,16007,Movie,          -,winter,1959.0,1959-02-10 00:00:00,Original,1.0,5.61,439.0
Koneko no Studio,6994,Movie,Toei Animation,spring,1959.0,1959-04-09 00:00:00,Original,1.0,6.04,1126.0
Shounen Sarutobi Sasuke,4948,Movie,Toei Animation,fall,1959.0,1959-12-25 00:00:00,Original,1.0,5.97,1401.0
Saiyuuki,4481,Movie,Toei Animation,summer,1960.0,1960-08-14 00:00:00,Novel,1.0,6.28,2405.0
Instant History,14211,TV (New),          -,spring,1961.0,1961-05-01 00:00:00,Original,312.0,0.0,542.0
Instant History,14211,TV (Continuing),          -,summer,1961.0,1961-05-01 00:00:00,Original,312.0,0.0,542.0
Anju to Zushioumaru,7610,Movie,Toei Animation,summer,1961.0,1961-07-19 00:00:00,Other,1.0,6.04,1554.0
Instant History,14211,TV (Continuing),          -,fall,1961.0,1961-05-01 00:00:00,Original,312.0,0.0,542.0
Instant History,14211,TV (Continuing),          -,winter,1962.0,1961-05-01 00:00:00,Original,312.0,0.0,542.0
Acchi Kocchi,22419,Movie,          -,winter,1962.0,1962-01-01 00:00:00,Original,1.0,7.1,7247.0
