title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes,score,members
Kono Subarashii Sekai ni Shukufuku wo! 2,32937,TV (New),Studio Deen,winter,2017.0,2017-01-12 01:05:00,Light novel,10.0,8.29,1235557.0
Kobayashi-san Chi no Maid Dragon,33206,TV (New),Kyoto Animation,winter,2017.0,2017-01-12 00:00:00,Manga,13.0,8.01,1005857.0
Youjo Senki,32615,TV (New),Nut,winter,2017.0,2017-01-06 22:00:00,Light novel,12.0,7.97,735472.0
Masamune-kun no Revenge,33487,TV (New),SILVER LINK.,winter,2017.0,2017-01-05 22:30:00,Manga,12.0,6.76,686913.0
Ao no Exorcist: Kyoto Fujouou-hen,33506,TV (New),A-1 Pictures,winter,2017.0,2017-01-07 01:55:00,Manga,12.0,7.38,636044.0
Kuzu no Honkai,32949,TV (New),Lerche,winter,2017.0,2017-01-13 00:55:00,Manga,12.0,7.21,572256.0
Little Witch Academia (TV),33489,TV (New),Trigger,winter,2017.0,2017-01-09 00:00:00,Original,25.0,7.84,540527.0
Gabriel DropOut,33731,TV (New),Doga Kobo,winter,2017.0,2017-01-09 22:30:00,Manga,12.0,7.47,394320.0
Demi-chan wa Kataritai,33988,TV (New),A-1 Pictures,winter,2017.0,2017-01-08 00:00:00,Manga,12.0,7.58,363266.0
Fuuka,33743,TV (New),Diomedéa,winter,2017.0,2017-01-06 22:00:00,Manga,12.0,6.51,256705.0
Gintama.,34096,TV (New),Bandai Namco Pictures,winter,2017.0,2017-01-09 01:35:00,Manga,12.0,8.98,249643.0
Seiren,33836,TV (New),"AXsiZ, Studio Gokumi",winter,2017.0,2017-01-06 02:28:00,Original,12.0,6.29,197790.0
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,33095,TV (New),Studio Deen,winter,2017.0,2017-01-07 02:25:00,Manga,12.0,8.76,161789.0
Tales of Zestiria the Cross 2nd Season,34086,TV (New),ufotable,winter,2017.0,2017-01-08 23:00:00,Game,13.0,7.33,143029.0
ACCA: 13-ku Kansatsu-ka,33337,TV (New),Madhouse,winter,2017.0,2017-01-10 23:00:00,Manga,12.0,7.67,139583.0
Akiba's Trip The Animation,34051,TV (New),Gonzo,winter,2017.0,2017-01-04 22:30:00,Game,13.0,6.52,128979.0
ChäoS;Child,30485,TV (New),SILVER LINK.,winter,2017.0,2017-01-11 23:30:00,Visual novel,12.0,6.35,119471.0
Urara Meirochou,32924,TV (New),J.C.Staff,winter,2017.0,2017-01-06 01:58:00,4-koma manga,12.0,7.12,117092.0
One Room,34392,TV (New),Typhoon Graphics,winter,2017.0,2017-01-11 22:40:00,Original,12.0,5.56,107344.0
Chain Chronicle: Haecceitas no Hikari,28833,TV (New),"Graphinica, Telecom Animation Film",winter,2017.0,2017-01-08 02:29:00,Game,12.0,6.6,106535.0
Rewrite 2nd Season,34126,TV (New),8bit,winter,2017.0,2017-01-14 23:30:00,Visual novel,11.0,7.22,101262.0
Hand Shakers,32981,TV (New),GoHands,winter,2017.0,2017-01-11 00:30:00,Original,12.0,5.29,95108.0
Super Lovers 2,33417,TV (New),Studio Deen,winter,2017.0,2017-01-12 23:30:00,Manga,10.0,7.19,76641.0
BanG Dream!,33573,TV (New),"Issen, Xebec",winter,2017.0,2017-01-21 22:30:00,Original,13.0,6.97,74587.0
Kemono Friends,33089,TV (New),Yaoyorozu,winter,2017.0,2017-01-11 01:35:00,Game,12.0,7.55,73264.0
Yowamushi Pedal: New Generation,31783,TV (New),TMS Entertainment,winter,2017.0,2017-01-10 01:35:00,Manga,25.0,7.66,68172.0
Nyanko Days,34148,TV (New),EMT Squared,winter,2017.0,2017-01-08 22:25:00,4-koma manga,12.0,6.61,63248.0
ēlDLIVE,32878,TV (New),Studio Pierrot,winter,2017.0,2017-01-08 22:00:00,Manga,12.0,6.13,44471.0
Reikenzan: Eichi e no Shikaku,33019,TV (New),Studio Deen,winter,2017.0,2017-01-08 00:00:00,Light novel,12.0,6.9,40322.0
Onihei,33983,TV (New),Studio M2,winter,2017.0,2017-01-10 02:05:00,Novel,13.0,7.31,36487.0
Yami Shibai 4,34467,TV (New),ILCA,winter,2017.0,2017-01-16 02:05:00,Original,13.0,5.76,24812.0
Minami Kamakura Koukou Joshi Jitenshabu,31422,TV (New),"A.C.G.T., J.C.Staff",winter,2017.0,2017-01-07 00:00:00,Manga,12.0,6.29,18818.0
Schoolgirl Strikers: Animation Channel,34289,TV (New),J.C.Staff,winter,2017.0,2017-01-07 00:30:00,Game,13.0,5.7,18604.0
Marginal#4: Kiss kara Tsukuru Big Bang,33788,TV (New),J.C.Staff,winter,2017.0,2017-01-12 23:30:00,Music,12.0,6.7,14964.0
Piace: Watashi no Italian,33447,TV (New),Zero-G,winter,2017.0,2017-01-11 22:30:00,Web manga,12.0,5.88,14801.0
Idol Jihen,34028,TV (New),"MAPPA, Studio VOLN",winter,2017.0,2017-01-08 23:30:00,Original,12.0,5.67,12894.0
Kirakira☆Precure A La Mode,34290,TV (New),Toei Animation,winter,2017.0,2017-02-05 08:30:00,Original,49.0,6.99,9568.0
Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,34295,TV (New),Seven,winter,2017.0,2017-01-03 23:30:00,4-koma manga,12.0,6.08,9107.0
Chiruran: Nibun no Ichi,34088,TV (New),LandQ studios,winter,2017.0,2017-01-10 01:00:00,Manga,12.0,5.65,7170.0
Forest Fairy Five,34223,TV (New),          -,winter,2017.0,2017-01-06 20:00:00,Picture book,13.0,3.28,3017.0
Sengoku Choujuu Giga: Otsu,34738,TV (New),ILCA,winter,2017.0,2017-01-15 01:57:00,Original,13.0,5.87,2726.0
Chou Shounen Tanteidan Neo,32830,TV (New),DLE,winter,2017.0,2017-01-02 21:55:00,Novel,13.0,5.19,2385.0
KochinPa! Dainiki,34503,TV (New),          -,winter,2017.0,2016-12-06 00:00:00,Other,24.0,4.62,1260.0
Inazma Delivery,34502,TV (New),Kanaban Graphics,winter,2017.0,2016-12-09 00:00:00,Original,10.0,6.3,884.0
High & Low: G-Sword,35156,TV (New),          -,winter,2017.0,2017-03-27 00:00:00,Other,5.0,4.89,661.0
Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,34309,TV (New),DLE,winter,2017.0,2016-12-05 00:00:00,Original,8.0,0.0,622.0
Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season,34456,TV (New),Studio 4°C,winter,2017.0,2017-01-09 18:35:00,Original,24.0,0.0,508.0
Tokyo Futago Athletic,33473,TV (New),Ripromo,winter,2017.0,2016-12-30 00:00:00,Original,8.0,0.0,439.0
Naruto: Shippuuden,1735,TV (Continuing),Studio Pierrot,winter,2017.0,2007-02-15 19:30:00,Manga,500.0,8.23,1969677.0
One Piece,21,TV (Continuing),Toei Animation,winter,2017.0,1999-10-20 09:30:00,Manga,0.0,8.62,1737493.0
Dragon Ball Super,30694,TV (Continuing),Toei Animation,winter,2017.0,2015-07-05 09:00:00,Manga,131.0,7.41,675098.0
3-gatsu no Lion,31646,TV (Continuing),Shaft,winter,2017.0,2016-10-08 23:00:00,Manga,22.0,8.4,569721.0
