title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes
Kick no Oni,3870,TV (New),Toei Animation,fall,1970.0,1970-10-02 00:00:00,-,26.0
Inakappe Taishou,8786,TV (New),Tatsunoko Production,fall,1970.0,1970-10-04 00:00:00,-,104.0
Norakuro,23013,TV (New),Eiken,fall,1970.0,1970-10-05 00:00:00,Manga,26.0
Otoko Doahou! Koushien,23011,TV (New),          -,fall,1970.0,1970-09-28 00:00:00,-,156.0
Ijiwaru Baasan,20079,TV (New),          -,fall,1970.0,1970-09-03 00:00:00,-,39.0
Warera Salaryman Tou,22219,TV (New),          -,fall,1970.0,1970-10-07 00:00:00,-,26.0
Ashita no Joe,2402,TV (Continuing),Mushi Production,fall,1970.0,1970-04-01 19:00:00,Manga,79.0
Tiger Mask,3009,TV (Continuing),Toei Animation,fall,1970.0,1969-10-02 00:00:00,Manga,105.0
Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,fall,1970.0,1969-12-07 19:00:00,Manga,104.0
Sazae-san,2406,TV (Continuing),Eiken,fall,1970.0,1969-10-05 18:30:00,4-koma manga,0.0
Muumin,8234,TV (Continuing),Mushi Production,fall,1970.0,1969-10-05 19:30:00,Book,65.0
Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,fall,1970.0,1970-04-07 00:00:00,Original,91.0
Kyojin no Hoshi,5834,TV (Continuing),TMS Entertainment,fall,1970.0,1968-03-30 00:00:00,Manga,182.0
Akakichi no Eleven,2316,TV (Continuing),          -,fall,1970.0,1970-04-13 00:00:00,-,52.0
Manga Jinbutsushi,23001,TV (Continuing),          -,fall,1970.0,1970-08-01 00:00:00,-,365.0
Attack No.1: Namida no Sekai Senshuken,9166,Movie,          -,fall,1970.0,1970-12-19 00:00:00,-,1.0
Kabatotto,3683,TV (New),Tatsunoko Production,winter,1971.0,1971-01-01 00:00:00,-,300.0
Chingou Muchabee,17457,TV (New),          -,winter,1971.0,1971-02-15 00:00:00,-,51.0
Ashita no Joe,2402,TV (Continuing),Mushi Production,winter,1971.0,1970-04-01 19:00:00,Manga,79.0
Tiger Mask,3009,TV (Continuing),Toei Animation,winter,1971.0,1969-10-02 00:00:00,Manga,105.0
Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,winter,1971.0,1969-12-07 19:00:00,Manga,104.0
Sazae-san,2406,TV (Continuing),Eiken,winter,1971.0,1969-10-05 18:30:00,4-koma manga,0.0
Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,winter,1971.0,1970-04-07 00:00:00,Original,91.0
Kyojin no Hoshi,5834,TV (Continuing),TMS Entertainment,winter,1971.0,1968-03-30 00:00:00,Manga,182.0
Akakichi no Eleven,2316,TV (Continuing),          -,winter,1971.0,1970-04-13 00:00:00,-,52.0
Mahou no Mako-chan,4113,TV (Continuing),Toei Animation,winter,1971.0,1970-11-02 00:00:00,-,48.0
Kick no Oni,3870,TV (Continuing),Toei Animation,winter,1971.0,1970-10-02 00:00:00,-,26.0
Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,winter,1971.0,1970-10-04 00:00:00,-,104.0
Norakuro,23013,TV (Continuing),Eiken,winter,1971.0,1970-10-05 00:00:00,Manga,26.0
Otoko Doahou! Koushien,23011,TV (Continuing),          -,winter,1971.0,1970-09-28 00:00:00,-,156.0
Ijiwaru Baasan,20079,TV (Continuing),          -,winter,1971.0,1970-09-03 00:00:00,-,39.0
Manga Jinbutsushi,23001,TV (Continuing),          -,winter,1971.0,1970-08-01 00:00:00,-,365.0
Warera Salaryman Tou,22219,TV (Continuing),          -,winter,1971.0,1970-10-07 00:00:00,-,26.0
Doubutsu Takarajima,3842,Movie,Toei Animation,winter,1971.0,1971-03-20 00:00:00,Novel,1.0
Attack No.1: Namida no Fushichou,9164,Movie,          -,winter,1971.0,1971-03-17 00:00:00,-,1.0
Ninpuu Kamui Gaiden: Tsukihigai no Maki,30965,Movie,          -,winter,1971.0,1971-03-20 00:00:00,-,1.0
Kick no Oni (1971),19683,Movie,Toei Animation,winter,1971.0,1971-03-20 00:00:00,-,1.0
Sasurai no Taiyou,3819,TV (New),          -,spring,1971.0,1971-04-08 00:00:00,Manga,26.0
Animentary: Ketsudan,8436,TV (New),Tatsunoko Production,spring,1971.0,1971-04-03 00:00:00,-,25.0
Ashita no Joe,2402,TV (Continuing),Mushi Production,spring,1971.0,1970-04-01 19:00:00,Manga,79.0
Tiger Mask,3009,TV (Continuing),Toei Animation,spring,1971.0,1969-10-02 00:00:00,Manga,105.0
Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,spring,1971.0,1969-12-07 19:00:00,Manga,104.0
Sazae-san,2406,TV (Continuing),Eiken,spring,1971.0,1969-10-05 18:30:00,4-koma manga,0.0
Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,spring,1971.0,1970-04-07 00:00:00,Original,91.0
Kyojin no Hoshi,5834,TV (Continuing),TMS Entertainment,spring,1971.0,1968-03-30 00:00:00,Manga,182.0
Mahou no Mako-chan,4113,TV (Continuing),Toei Animation,spring,1971.0,1970-11-02 00:00:00,-,48.0
Kabatotto,3683,TV (Continuing),Tatsunoko Production,spring,1971.0,1971-01-01 00:00:00,-,300.0
Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,spring,1971.0,1970-10-04 00:00:00,-,104.0
Ijiwaru Baasan,20079,TV (Continuing),          -,spring,1971.0,1970-09-03 00:00:00,-,39.0
Manga Jinbutsushi,23001,TV (Continuing),          -,spring,1971.0,1970-08-01 00:00:00,-,365.0
Ashita no Joe,2402,TV (Continuing),Mushi Production,summer,1971.0,1970-04-01 19:00:00,Manga,79.0
Tiger Mask,3009,TV (Continuing),Toei Animation,summer,1971.0,1969-10-02 00:00:00,Manga,105.0
Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,summer,1971.0,1969-12-07 19:00:00,Manga,104.0
Sazae-san,2406,TV (Continuing),Eiken,summer,1971.0,1969-10-05 18:30:00,4-koma manga,0.0
Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,summer,1971.0,1970-04-07 00:00:00,Original,91.0
Kyojin no Hoshi,5834,TV (Continuing),TMS Entertainment,summer,1971.0,1968-03-30 00:00:00,Manga,182.0
Mahou no Mako-chan,4113,TV (Continuing),Toei Animation,summer,1971.0,1970-11-02 00:00:00,-,48.0
Sasurai no Taiyou,3819,TV (Continuing),          -,summer,1971.0,1971-04-08 00:00:00,Manga,26.0
Animentary: Ketsudan,8436,TV (Continuing),Tatsunoko Production,summer,1971.0,1971-04-03 00:00:00,-,25.0
Kabatotto,3683,TV (Continuing),Tatsunoko Production,summer,1971.0,1971-01-01 00:00:00,-,300.0
Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,summer,1971.0,1970-10-04 00:00:00,-,104.0
