title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes
Tom Sawyer no Bouken,2577,TV (New),Nippon Animation,winter,1980.0,1980-01-06 19:30:00,Book,49.0
Mahou Shoujo Lalabel,3878,TV (New),Toei Animation,winter,1980.0,1980-02-15 00:00:00,-,49.0
Mori no Youki na Kobito-tachi: Belfy to Lillibit,3810,TV (New),Tatsunoko Production,winter,1980.0,1980-01-07 00:00:00,-,26.0
Muteki Robo Trider G7,4536,TV (New),Sunrise,winter,1980.0,1980-02-02 17:30:00,Original,50.0
Time Bokan Series: Time Patroltai Otasukeman,8553,TV (New),Tatsunoko Production,winter,1980.0,1980-02-02 00:00:00,-,53.0
Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,3876,TV (New),Toei Animation,winter,1980.0,1980-01-09 19:00:00,Other,26.0
Versailles no Bara,338,TV (Continuing),Tokyo Movie Shinsha,winter,1980.0,1979-10-10 19:00:00,Manga,40.0
Ginga Tetsudou 999,1491,TV (Continuing),Toei Animation,winter,1980.0,1978-09-14 19:00:00,Manga,113.0
Lupin III: Part II,1425,TV (Continuing),Tokyo Movie Shinsha,winter,1980.0,1977-10-03 19:00:00,Manga,155.0
Cyborg 009 (1979),4690,TV (Continuing),Toei Animation,winter,1980.0,1979-03-06 00:00:00,Manga,50.0
Sazae-san,2406,TV (Continuing),Eiken,winter,1980.0,1969-10-05 18:30:00,4-koma manga,0.0
Hana no Ko Lunlun,2230,TV (Continuing),Toei Animation,winter,1980.0,1979-02-09 00:00:00,Original,50.0
The☆Ultraman,3444,TV (Continuing),Production Reed,winter,1980.0,1979-04-04 00:00:00,Other,50.0
Kagaku Ninja-tai Gatchaman F,6375,TV (Continuing),Tatsunoko Production,winter,1980.0,1979-10-07 00:00:00,-,48.0
Uchuu Kuubo Blue Noah,5763,TV (Continuing),          -,winter,1980.0,1979-10-13 00:00:00,Original,24.0
Entaku no Kishi Monogatari: Moero Arthur,4199,TV (Continuing),Toei Animation,winter,1980.0,1979-09-09 19:00:00,-,30.0
Manga Sarutobi Sasuke,5091,TV (Continuing),          -,winter,1980.0,1979-10-09 00:00:00,-,24.0
Mirai Robo Daltanias,4411,TV (Continuing),Toei Animation,winter,1980.0,1979-03-21 00:00:00,Original,47.0
Manga Nippon Mukashibanashi (1976),6277,TV (Continuing),Group TAC,winter,1980.0,1976-01-07 00:00:00,-,1471.0
Sasurai no Shoujo Nell,3877,TV (Continuing),DAX Production,winter,1980.0,1979-10-25 18:45:00,Novel,26.0
Toushi Gordian,5022,TV (Continuing),Tatsunoko Production,winter,1980.0,1979-10-07 00:00:00,Original,73.0
Animation Kikou: Marco Polo no Bouken,5935,TV (Continuing),Madhouse,winter,1980.0,1979-04-07 00:00:00,Original,43.0
Hoka Hoka Kazoku,8213,TV (Continuing),Eiken,winter,1980.0,1976-10-01 00:00:00,-,1428.0
Manga Hajimete Monogatari,10135,TV (Continuing),          -,winter,1980.0,1978-05-06 00:00:00,-,305.0
Kagaku Bouken-tai Tansar 5,10965,TV (Continuing),Sunrise,winter,1980.0,1979-07-27 00:00:00,-,34.0
Doraemon Movie 01: Nobita no Kyouryuu,3727,Movie,Shin-Ei Animation,winter,1980.0,1980-03-15 00:00:00,Manga,1.0
Ashita no Joe (Movie),2920,Movie,Mushi Production,winter,1980.0,1980-03-08 00:00:00,-,1.0
Hi no Tori 2772: Ai no CosmoZone,2793,Movie,"Tezuka Productions, Toho",winter,1980.0,1980-03-15 00:00:00,Manga,1.0
Ginga Tetsudou 999: Glass no Clair,6653,Movie,Toei Animation,winter,1980.0,1980-03-15 00:00:00,Manga,1.0
Ie Naki Ko (Movie),2831,Movie,          -,winter,1980.0,1980-03-15 00:00:00,-,1.0
