title,MAL_id,type,studio,release-season,release-year,release-date,source-material,genres,themes,demographics,episodes,score,members
Kintarou Taiiku Nikki,7501,Movie,['Unknown'],summer,1940.0,,Original,"['Comedy', 'Sports']",[],,1.0,5.08,623.0
Tie Shan Gongzhu,9521,Movie,['Unknown'],winter,1941.0,,Other,"['Action', 'Adventure', 'Fantasy']",[],,1.0,5.36,1100.0
Kangaroo no Tanjoubi,6843,Movie,['Unknown'],winter,1941.0,,Original,['Adventure'],[],,1.0,5.34,1100.0
Fuku-chan no Kishuu,23969,Movie,['Shochiku Animation Institute'],winter,1942.0,,Other,['Comedy'],[],,1.0,0.0,467.0
Spy Gekimetsu,27575,Movie,['Unknown'],summer,1942.0,,Original,[],[],,1.0,0.0,502.0
Momotarou no Umiwashi,6857,Movie,['Unknown'],winter,1943.0,,Original,[],"['Historical', 'Military']",Kids,1.0,4.83,1700.0
Kumo to Tulip,3990,Movie,['Shochiku Animation Institute'],spring,1943.0,,Picture book,['Adventure'],[],,1.0,5.68,2100.0
Fuku-chan no Zousan Butai,23971,Movie,['Shochiku Animation Institute'],summer,1943.0,,Other,['Comedy'],[],,1.0,0.0,384.0
Malay Oki Kaisen,29782,Movie,['Unknown'],fall,1943.0,,Original,[],[],,1.0,5.14,553.0
Fuku-chan no Sensuikan,7523,Movie,['Shochiku Animation Institute'],fall,1944.0,,Other,['Comedy'],[],,1.0,4.92,790.0
Momotarou: Umi no Shinpei,2765,Movie,['Shochiku Animation Institute'],spring,1945.0,,Original,['Action'],[],,1.0,5.14,2500.0
Suteneko Tora-chan,5662,Movie,['Unknown'],summer,1947.0,,Original,[],[],,1.0,5.69,1500.0
Muku no Ki no Hanashi,29895,Movie,['Unknown'],summer,1947.0,,Original,[],[],,1.0,5.45,429.0
Tora-chan to Hanayome,12603,Movie,['Unknown'],winter,1948.0,,Original,['Drama'],[],,1.0,5.56,1200.0
Kachikachi Yama no Shouboutai,30457,Movie,['Unknown'],winter,1948.0,,Music,['Comedy'],[],,1.0,0.0,416.0
Poppoya-san: Nonki Ekichou,23633,Movie,['Unknown'],fall,1948.0,,Original,[],[],,1.0,0.0,298.0
Poppoya-san: Nonki Kikanshi,23635,Movie,['Unknown'],spring,1949.0,,Original,[],[],,1.0,0.0,273.0
Kitsune no Home Run Ou,28035,Movie,['Unknown'],summer,1949.0,,Original,['Sports'],['Team Sports'],Kids,1.0,5.02,561.0
Ousama no Shippo,7526,Movie,['Unknown'],fall,1949.0,,Original,['Fantasy'],[],,1.0,0.0,421.0
Doubutsu Dai Yakyuu Sen,27577,Movie,['Unknown'],fall,1949.0,,Original,['Sports'],[],,1.0,0.0,384.0
Kobito to Ao Mushi,23637,Movie,['Unknown'],fall,1950.0,,Original,[],['Music'],Kids,1.0,0.0,311.0
Ponsuke no Udekurabe,7527,Movie,['Unknown'],winter,1951.0,,Original,['Action'],[],,1.0,0.0,394.0
Kujira (1952),7528,Movie,['Unknown'],fall,1952.0,,Original,['Fantasy'],[],,1.0,5.05,1300.0
Mori no Ongakukai,7529,Movie,['Unknown'],winter,1953.0,,Original,['Comedy'],[],,1.0,0.0,447.0
Ari to Hato (1953),21763,Movie,['Unknown'],summer,1953.0,,Other,[],[],,1.0,0.0,320.0
Kousagi Monogatari,23097,Movie,['Unknown'],winter,1954.0,,Original,['Comedy'],[],,1.0,0.0,304.0
Kappa Kawatarou,23639,Movie,['Unknown'],spring,1954.0,,Original,['Supernatural'],[],,1.0,5.43,456.0
Hana to Chou,7530,Movie,['Unknown'],fall,1954.0,,Original,['Fantasy'],[],,1.0,5.0,930.0
Onbu Obake,7531,Movie,['Unknown'],fall,1955.0,,Original,['Supernatural'],[],,1.0,0.0,427.0
Ukare Violin,23641,Movie,['Unknown'],fall,1955.0,,Original,['Fantasy'],[],,1.0,0.0,284.0
Yuureisen,11447,Movie,['Unknown'],spring,1956.0,,Book,['Supernatural'],[],,1.0,5.55,2000.0
Kuroi Kikori to Shiroi Kikori,7532,Movie,['Unknown'],summer,1956.0,,Original,['Fantasy'],[],,1.0,6.03,831.0
Chibikuro Sambo no Tora Taiji,29947,Movie,['Unknown'],fall,1956.0,,Original,[],[],,1.0,0.0,323.0
Chibikuro Sambo to Futago no Otouto,29948,Movie,['Unknown'],winter,1957.0,,Original,[],[],,1.0,0.0,296.0
Ba Luo Bo,48979,Movie,['Unknown'],winter,1957.0,,Other,['Comedy'],[],,1.0,0.0,147.0
Koneko no Rakugaki,6993,Movie,['Toei Animation'],spring,1957.0,,Original,['Comedy'],[],,1.0,5.74,1900.0
Fushigi na Taiko,29919,Movie,['Unknown'],summer,1957.0,,Other,[],[],,1.0,5.46,426.0
Fukusuke,29923,Movie,['Otogi Production'],fall,1957.0,,Original,[],[],,1.0,5.3,737.0
Koguma no Koro-chan,9850,Movie,['Unknown'],winter,1958.0,,Other,[],[],,1.0,5.52,697.0
Yumemi Douji,29812,Movie,['Toei Animation'],spring,1958.0,,Original,['Drama'],[],,1.0,5.37,501.0
Penguin Boy Lulu to Kiki,53139,Movie,['Unknown'],summer,1958.0,,Original,[],[],,1.0,0.0,62.0
Hakujaden,4513,Movie,['Toei Animation'],fall,1958.0,,Other,"['Adventure', 'Fantasy', 'Romance']",[],,1.0,6.09,5300.0
Chuumon no Ooi Ryouriten,7621,Movie,['Unknown'],fall,1958.0,,Book,"['Fantasy', 'Horror', 'Supernatural']",[],,1.0,5.49,1100.0
Mogura no Adventure,19125,Special,['Unknown'],fall,1958.0,,Original,['Adventure'],[],,1.0,4.66,705.0
Hyoutan Suzume,16007,Movie,['Unknown'],winter,1959.0,,Original,['Fantasy'],[],,1.0,5.51,572.0
Koneko no Studio,6994,Movie,['Toei Animation'],spring,1959.0,,Original,['Comedy'],[],,1.0,6.01,1600.0
Ari to Hato (1959),21765,Movie,['Gakken Eigakyoku'],summer,1959.0,,Other,[],[],,1.0,5.45,433.0
Shounen Sarutobi Sasuke,4948,Movie,['Toei Animation'],fall,1959.0,,Original,"['Adventure', 'Fantasy']",[],,1.0,5.91,1800.0
Kozaru no Buranko,32626,Movie,['Unknown'],fall,1959.0,,Picture book,[],[],,1.0,5.41,355.0
3-tsu no Hanashi,8774,Special,['Unknown'],winter,1960.0,,Other,['Fantasy'],[],,1.0,4.81,859.0
Kitakaze to Taiyou,32693,Movie,['Unknown'],spring,1960.0,,Other,[],[],,1.0,0.0,345.0
Saiyuuki,4481,Movie,['Toei Animation'],summer,1960.0,,Novel,['Adventure'],[],,1.0,6.24,3000.0
Instant History,14211,TV (New),['Unknown'],spring,1961.0,,Original,[],[],,312.0,6.11,837.0
Instant History,14211,TV (Continuing),['Unknown'],summer,1961.0,,Original,[],[],,312.0,6.11,837.0
Anju to Zushioumaru,7610,Movie,['Toei Animation'],summer,1961.0,,Other,['Fantasy'],[],,1.0,6.0,2000.0
Instant History,14211,TV (Continuing),['Unknown'],fall,1961.0,,Original,[],[],,312.0,6.11,837.0
Instant History,14211,TV (Continuing),['Unknown'],winter,1962.0,,Original,[],[],,312.0,6.11,837.0
Arabian Night: Sindbad no Bouken,7786,Movie,['Toei Animation'],spring,1962.0,,Book,"['Action', 'Adventure', 'Fantasy']",[],,1.0,5.41,1700.0
Tanoshii Bunmeishi: Tetsu Monogatari,23003,Movie,['Toei Animation'],spring,1962.0,,Original,['Slice of Life'],[],,1.0,0.0,363.0
Otogi Manga Calendar,14213,TV (New),['Unknown'],summer,1962.0,,Original,[],[],,312.0,6.01,691.0
Mogura no Motoro,23005,Movie,['Toei Animation'],summer,1962.0,,,['Slice of Life'],[],,1.0,0.0,411.0
Otogi no Sekai Ryokou,17675,Movie,['Unknown'],summer,1962.0,,,['Adventure'],[],,1.0,0.0,346.0
Otogi Manga Calendar,14213,TV (Continuing),['Unknown'],fall,1962.0,,Original,[],[],,312.0,6.01,691.0
Aru Machi Kado no Monogatari,1497,Movie,['Mushi Production'],fall,1962.0,,Original,"['Award Winning', 'Drama', 'Romance']",[],,1.0,6.57,4300.0
Osu,1982,Movie,['Mushi Production'],fall,1962.0,,Original,['Slice of Life'],[],,1.0,5.18,3500.0
Tetsuwan Atom,2747,TV (New),['Mushi Production'],winter,1963.0,,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,193.0,7.08,12000.0
Otogi Manga Calendar,14213,TV (Continuing),['Unknown'],winter,1963.0,,Original,[],[],,312.0,6.01,691.0
Wanpaku Ouji no Orochi Taiji,3905,Movie,['Toei Animation'],winter,1963.0,,Original,"['Adventure', 'Award Winning', 'Fantasy']",[],,1.0,6.29,2500.0
Tetsuwan Atom,2747,TV (Continuing),['Mushi Production'],spring,1963.0,,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,193.0,7.08,12000.0
Otogi Manga Calendar,14213,TV (Continuing),['Unknown'],spring,1963.0,,Original,[],[],,312.0,6.01,691.0
Tetsuwan Atom,2747,TV (Continuing),['Mushi Production'],summer,1963.0,,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,193.0,7.08,12000.0
Otogi Manga Calendar,14213,TV (Continuing),['Unknown'],summer,1963.0,,Original,[],[],,312.0,6.01,691.0
Tetsujin 28-gou,2686,TV (New),['Eiken'],fall,1963.0,,Manga,"['Adventure', 'Sci-Fi']",['Mecha'],Shounen,96.0,6.4,3100.0
Eightman,5052,TV (New),['Nippon Animation'],fall,1963.0,,Manga,"['Action', 'Drama', 'Sci-Fi']",[],,56.0,6.01,1800.0
Sennin Buraku,8041,TV (New),['Eiken'],fall,1963.0,,4-koma manga,"['Comedy', 'Ecchi']",[],,23.0,5.87,979.0
Ookami Shounen Ken,17521,TV (New),['Toei Animation'],fall,1963.0,,,['Adventure'],[],,86.0,0.0,650.0
Tetsuwan Atom,2747,TV (Continuing),['Mushi Production'],fall,1963.0,,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,193.0,7.08,12000.0
Otogi Manga Calendar,14213,TV (Continuing),['Unknown'],fall,1963.0,,Original,[],[],,312.0,6.01,691.0
Wan Wan Chuushingura,9228,Movie,['Toei Animation'],fall,1963.0,,,"['Action', 'Adventure', 'Drama', 'Fantasy']",[],,1.0,5.57,1100.0
Ookami Shounen Ken (Movie),23007,Movie,['Toei Animation'],fall,1963.0,,,['Adventure'],[],,1.0,0.0,349.0
0-sen Hayato,12763,TV (New),['Unknown'],winter,1964.0,,Manga,[],[],,38.0,5.96,895.0
Shisukon Ouji,19981,TV (New),['Unknown'],winter,1964.0,,Manga,['Adventure'],[],,14.0,0.0,402.0
Tetsuwan Atom,2747,TV (Continuing),['Mushi Production'],winter,1964.0,,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,193.0,7.08,12000.0
Tetsujin 28-gou,2686,TV (Continuing),['Eiken'],winter,1964.0,,Manga,"['Adventure', 'Sci-Fi']",['Mecha'],Shounen,96.0,6.4,3100.0
Eightman,5052,TV (Continuing),['Nippon Animation'],winter,1964.0,,Manga,"['Action', 'Drama', 'Sci-Fi']",[],,56.0,6.01,1800.0
Sennin Buraku,8041,TV (Continuing),['Eiken'],winter,1964.0,,4-koma manga,"['Comedy', 'Ecchi']",[],,23.0,5.87,979.0
Otogi Manga Calendar,14213,TV (Continuing),['Unknown'],winter,1964.0,,Original,[],[],,312.0,6.01,691.0
Ookami Shounen Ken,17521,TV (Continuing),['Toei Animation'],winter,1964.0,,,['Adventure'],[],,86.0,0.0,650.0
Ookami Shounen Ken: Arabia no Kaijin - Ma no Iwa no Kettou,23009,Movie,['Toei Animation'],winter,1964.0,,,['Adventure'],[],,1.0,0.0,405.0
Tetsujin 28-gou: Tanjou-hen,27993,Special,['Eiken'],winter,1964.0,,,"['Adventure', 'Sci-Fi']",['Mecha'],Shounen,1.0,0.0,501.0
Tetsuwan Atom,2747,TV (Continuing),['Mushi Production'],spring,1964.0,,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,193.0,7.08,12000.0
Tetsujin 28-gou,2686,TV (Continuing),['Eiken'],spring,1964.0,,Manga,"['Adventure', 'Sci-Fi']",['Mecha'],Shounen,96.0,6.4,3100.0
Eightman,5052,TV (Continuing),['Nippon Animation'],spring,1964.0,,Manga,"['Action', 'Drama', 'Sci-Fi']",[],,56.0,6.01,1800.0
0-sen Hayato,12763,TV (Continuing),['Unknown'],spring,1964.0,,Manga,[],[],,38.0,5.96,895.0
Otogi Manga Calendar,14213,TV (Continuing),['Unknown'],spring,1964.0,,Original,[],[],,312.0,6.01,691.0
Ookami Shounen Ken,17521,TV (Continuing),['Toei Animation'],spring,1964.0,,,['Adventure'],[],,86.0,0.0,650.0
Kirin no Otenki Mama-san,30079,Special,['Unknown'],spring,1964.0,,Other,['Fantasy'],[],,12.0,5.09,473.0
Big X,9613,TV (New),['Tokyo Movie Shinsha'],summer,1964.0,,Manga,"['Action', 'Sci-Fi']",['Historical'],Shounen,59.0,6.25,1100.0
Shounen Ninja Kaze no Fujimaru,13307,TV (New),['Toei Animation'],summer,1964.0,,,"['Action', 'Adventure']",['Samurai'],Shounen,65.0,5.84,992.0
Tetsuwan Atom,2747,TV (Continuing),['Mushi Production'],summer,1964.0,,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,193.0,7.08,12000.0
Tetsujin 28-gou,2686,TV (Continuing),['Eiken'],summer,1964.0,,Manga,"['Adventure', 'Sci-Fi']",['Mecha'],Shounen,96.0,6.4,3100.0
Eightman,5052,TV (Continuing),['Nippon Animation'],summer,1964.0,,Manga,"['Action', 'Drama', 'Sci-Fi']",[],,56.0,6.01,1800.0
0-sen Hayato,12763,TV (Continuing),['Unknown'],summer,1964.0,,Manga,[],[],,38.0,5.96,895.0
Ookami Shounen Ken,17521,TV (Continuing),['Toei Animation'],summer,1964.0,,,['Adventure'],[],,86.0,0.0,650.0
Ningyo,2047,Movie,['Mushi Production'],summer,1964.0,,,['Fantasy'],[],,1.0,6.32,4100.0
Memory,1984,Movie,['Unknown'],summer,1964.0,,Original,['Mystery'],[],,1.0,6.02,3000.0
Tetsuwan Atom: Uchuu no Yuusha,10342,Movie,['Mushi Production'],summer,1964.0,,Original,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,1.0,6.22,1700.0
Shounen Ninja Kaze no Fujimaru: Nazo no Arabiya Ningyou,19983,Movie,['Toei Animation'],summer,1964.0,,,"['Action', 'Adventure']",['Samurai'],Shounen,1.0,0.0,435.0
Tetsuwan Atom,2747,TV (Continuing),['Mushi Production'],fall,1964.0,,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,193.0,7.08,12000.0
Tetsujin 28-gou,2686,TV (Continuing),['Eiken'],fall,1964.0,,Manga,"['Adventure', 'Sci-Fi']",['Mecha'],Shounen,96.0,6.4,3100.0
Eightman,5052,TV (Continuing),['Nippon Animation'],fall,1964.0,,Manga,"['Action', 'Drama', 'Sci-Fi']",[],,56.0,6.01,1800.0
Big X,9613,TV (Continuing),['Tokyo Movie Shinsha'],fall,1964.0,,Manga,"['Action', 'Sci-Fi']",['Historical'],Shounen,59.0,6.25,1100.0
Shounen Ninja Kaze no Fujimaru,13307,TV (Continuing),['Toei Animation'],fall,1964.0,,,"['Action', 'Adventure']",['Samurai'],Shounen,65.0,5.84,992.0
Ookami Shounen Ken,17521,TV (Continuing),['Toei Animation'],fall,1964.0,,,['Adventure'],[],,86.0,0.0,650.0
Uchuu Patrol Hopper,12897,TV (New),['Toei Animation'],winter,1965.0,,,['Sci-Fi'],[],,44.0,0.0,623.0
Mirai Kara Kita Shounen Super Jetter,16159,TV (New),['Unknown'],winter,1965.0,,Original,"['Action', 'Comedy', 'Sci-Fi']",[],,52.0,0.0,557.0
Tetsuwan Atom,2747,TV (Continuing),['Mushi Production'],winter,1965.0,,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen,193.0,7.08,12000.0
Tetsujin 28-gou,2686,TV (Continuing),['Eiken'],winter,1965.0,,Manga,"['Adventure', 'Sci-Fi']",['Mecha'],Shounen,96.0,6.4,3100.0
Big X,9613,TV (Continuing),['Tokyo Movie Shinsha'],winter,1965.0,,Manga,"['Action', 'Sci-Fi']",['Historical'],Shounen,59.0,6.25,1100.0
Shounen Ninja Kaze no Fujimaru,13307,TV (Continuing),['Toei Animation'],winter,1965.0,,,"['Action', 'Adventure']",['Samurai'],Shounen,65.0,5.84,992.0
Ookami Shounen Ken,17521,TV (Continuing),['Toei Animation'],winter,1965.0,,,['Adventure'],[],,86.0,0.0,650.0
Gulliver no Uchuu Ryokou,2833,Movie,['Toei Animation'],winter,1965.0,,,"['Adventure', 'Sci-Fi']",[],,1.0,5.73,1500.0
Shin Takarajima,15823,Special,['Mushi Production'],winter,1965.0,,Novel,['Adventure'],[],,1.0,5.78,559.0
